strategy,ann_ret,ann_vol,sharpe,sortino,max_dd,calmar,turnover_ann,n_periods
DFL-Orchestrator,0.16945982846884017,0.11744147200242558,1.442930044893683,2.381295533497726,-0.07877841128869201,2.151094769451954,1.0175703449090356,104
SPY-BuyHold,0.23006619555933974,0.12786554565158673,1.7992821630483127,2.8538514883464035,-0.0980290575505679,2.3469183659208497,0.0,104
EqualWeight-Pods,0.1548075909751992,0.11555123189681936,1.3397312035014348,2.1340149827285546,-0.0838812549627257,1.8455564481479327,0.0,104
EWMA-Softmax,0.13896966911159042,0.11638127772462331,1.194089563446922,1.8860190622355992,-0.08906491505764813,1.5603188867540148,4.138832561637221,104
