t,won_median,lost_median,won_q25,won_q75,lost_q25,lost_q75
0.0,0.1295,0.101,0.07250000000000001,0.21999999999999997,0.033999999999999996,0.136875
0.041666666666666664,0.12225,0.097,0.07234375000000001,0.19795833333333335,0.032322916666666666,0.15187499999999998
0.08333333333333333,0.1175,0.093,0.07252083333333334,0.24208333333333332,0.031375,0.12687500000000002
0.125,0.114125,0.078125,0.0778125,0.28500000000000003,0.028749999999999998,0.1315625
0.16666666666666666,0.11291666666666667,0.06866666666666667,0.09416666666666668,0.47916666666666663,0.026125,0.13625
0.20833333333333331,0.12645833333333334,0.06664583333333333,0.09907291666666666,0.5283333333333333,0.021424479166666666,0.1350625
0.25,0.1365,0.064625,0.10343749999999999,0.6737500000000001,0.020624999999999998,0.130125
0.29166666666666663,0.17875000000000002,0.06260416666666667,0.09473958333333332,0.9338749999999999,0.02,0.1251875
0.3333333333333333,0.20833333333333331,0.060583333333333336,0.11041666666666666,0.9884204545454546,0.019375,0.12025000000000001
0.375,0.265,0.061875,0.12609375,0.9927335858585858,0.0178125,0.11959375
0.41666666666666663,0.3649999999999999,0.063625,0.13697916666666668,0.9959282407407408,0.01625,0.11875000000000001
0.4583333333333333,0.46499999999999986,0.06381250000000001,0.13432291666666668,0.9961655092592593,0.014982584635416667,0.10487500000000001
0.5,0.565,0.058249999999999996,0.128125,0.9964027777777777,0.014560546875,0.10450000000000001
0.5416666666666666,0.673375,0.0516875,0.13330208333333332,0.9968483796296297,0.014138509114583333,0.09703125000000001
0.5833333333333333,0.7817499999999998,0.045604166666666675,0.15785416666666663,0.9972939814814815,0.013452220775462966,0.08693750000000003
0.625,0.88725,0.04021875,0.16449999999999998,0.9974895833333334,0.012082736545138887,0.07684375000000002
0.6666666666666666,0.8997777777777778,0.034833333333333334,0.15633333333333332,0.9986666666666667,0.010713252314814814,0.068
0.7083333333333333,0.9123055555555555,0.030875,0.17536458333333332,0.9985208333333334,0.009343768084490741,0.06256250000000001
0.75,0.9248333333333334,0.031,0.2570625000000001,0.9986250000000001,0.0085625,0.0575
0.7916666666666666,0.9373611111111111,0.03275,0.40109374999999997,0.9987291666666667,0.007747395833333334,0.04906250000000001
0.8333333333333333,0.9498888888888889,0.027333333333333352,0.5208749999999999,0.9988333333333334,0.006792390046296298,0.04000000000000001
0.875,0.9805,0.020500000000000004,0.64065625,0.999125,0.005206064895470385,0.03328125
0.9166666666666666,0.987,0.013666666666666674,0.7604374999999999,0.9994166666666666,0.003473958333333336,0.02218750000000001
0.9583333333333333,0.9935,0.0068333333333333475,0.8802187499999998,0.9997083333333333,0.0017447916666666707,0.01109375000000002
1.0,1.0,0.0,1.0,1.0,0.0,0.0
