domain,n,mean_price,realized,CE,CE_t,disruptive
ai/tech,10,0.5,0.5,-5.551115123125783e-18,0.0,✓
crypto/financial,206,0.5014781553398059,0.5,-0.001478155339805829,-0.060281980866853054,✓
geopolitics,265,0.4948000000000001,0.4981132075471698,0.0033132075471698098,0.11167971751526314,✓
other-binary,663,0.5003061840120663,0.5037707390648567,0.0034645550527903457,0.20817082226102748,
politics,272,0.49959558823529415,0.5,0.00040441176470587824,0.017202814581147814,✓
sports/other,160,0.5,0.5,-1.3877787807814458e-18,8.364449686054871e-17,
