sizing_var,g,wt_edge,t,cagr,sharpe,sortino,maxdd,calmar,final
price,-2.0,0.2810823556946382,2.513498967539347,1.5321298046512495,1.307974015555206,1.4970252394412007,-0.09784173436406708,15.659266616740725,5106.257120194215
price,-1.5,0.30976914056214605,2.926110925558475,1.74605995040121,1.4063674072140346,1.950300656348694,-0.09150718825005227,19.081123393606322,5887.345993393242
price,-1.0,0.33748994103733243,3.412239177040575,1.8785095315550127,1.499241886500713,2.4361046122911056,-0.0882760593589156,21.27994322806492,6394.726558107804
price,-0.5,0.36464375333970217,4.080410933439055,1.8682096388302445,1.6096110107150026,2.771235738297552,-0.08334794838190865,22.414584583053212,6354.624409577597
price,0.0,0.3821428571428571,4.645296228510053,1.6507731062622635,1.7689088373184163,1.8589672309472152,-0.10000000000000016,16.507731062622607,5533.538007806758
price,0.5,0.38374475344511877,4.085017647337317,1.259401926517211,1.9297469871277855,0.9546804777998745,-0.12786585368013104,9.849399900521748,4180.663925898684
price,1.0,0.3742761635578675,3.103620840719912,0.9020669666362271,1.806964463773751,0.47623199363757307,-0.15216073246962297,5.9283821258964675,3090.5144110473775
price,1.5,0.378748940210248,2.9094355378687924,0.7945645522459721,1.7565771618931236,0.5080814209701631,-0.1402727183587772,5.664426850370896,2790.542451597196
price,2.0,0.3743790034230445,2.7640746390338924,0.7189532699788999,1.730103321470747,0.5834059732273823,-0.12957341627125593,5.548617074923799,2587.4954041087603
signal(calm),-2.0,0.1618919013535077,1.4410191248939086,0.5472747320543734,0.9138005030099554,0.3086109901531186,-0.29876837670590867,1.8317692725327515,2151.2144631266488
signal(calm),-1.5,0.1913218486308911,1.7400043514517483,0.6580177783491503,0.9971946027012015,0.3817618888810024,-0.2653947116732314,2.4793929547448483,2428.6825345913157
signal(calm),-1.0,0.22940969354374408,2.175027195074871,0.7881378982142466,1.1183540339109168,0.4548586163364585,-0.22148368103275975,3.5584468098923856,2773.0280778010406
signal(calm),-0.5,0.2998517960433979,3.238211943635767,1.1467364998134761,1.4585138758743976,0.8518185560632631,-0.16417890609156588,6.984676211534253,3821.7229425648447
signal(calm),0.0,0.3821428571428571,4.645296228510053,1.6507731062622635,1.7689088373184163,1.8589672309472152,-0.10000000000000016,16.507731062622607,5533.538007806758
signal(calm),0.5,0.44698924009425095,5.102018479634672,2.021594757978792,1.6999929569797514,3.5610237392829425,-0.047837438152502784,42.2596785290649,6963.001433009406
signal(calm),1.0,0.4708882471933271,4.71949210481124,2.1068816411383913,1.505842785974613,3.0904574432818044,-0.059977977609347796,35.12758724312214,7311.581582086999
signal(calm),1.5,0.4650418609534246,4.3559495253955145,2.2129414080353236,1.4222538595558203,2.350376279344521,-0.07999999999999992,27.66176760044157,7755.241769212933
signal(calm),2.0,0.4684428262178763,4.232753465827408,2.237623573142584,1.376826336988751,2.195638506710218,-0.07999999999999999,27.970294664282306,7860.099480617938
