cap,n,win,avg_price,edge,t,lo,hi,be_margin,cagr,sharpe,maxdd,final
0.1,17,0.5294117647058824,0.05711764705882354,0.44229411764705884,3.6470120723444985,0.2700873949579832,0.6095088235294117,0.4722941176470588,1.175650789655386,1.5783917673804004,-0.039599999999999795,3789.5905179051524
0.15,23,0.4782608695652174,0.07432608695652174,0.37393478260869567,3.560023469302951,0.22467916666666668,0.5219565789473685,0.40393478260869564,1.294908036275213,1.6211826983253266,-0.05919999999999981,4209.591980411358
0.2,26,0.5,0.08657692307692309,0.383423076923077,3.9096978550254207,0.22497785145888594,0.5503732804232806,0.4134230769230769,1.373766039957165,1.5921306210725454,-0.0788,4559.1029863315025
0.25,31,0.5161290322580645,0.11003225806451615,0.37609677419354837,4.189958329759717,0.22390174291938997,0.5336787337662338,0.40609677419354834,1.5014847344495617,1.6797855590363635,-0.08000000000000061,4998.299187752324
0.3,34,0.5588235294117647,0.1254705882352941,0.40335294117647064,4.851734424935259,0.2677503201970443,0.5462090517241379,0.4333529411764706,1.684179777032075,1.793665546732392,-0.08000000000000027,5656.505519091352
0.35,35,0.5428571428571428,0.13071428571428573,0.3821428571428571,4.578453949036667,0.22635146520146518,0.5456833333333334,0.4121428571428571,1.6507731062622635,1.7689088373184163,-0.10000000000000016,5533.538007806758
0.4,36,0.5277777777777778,0.1379166666666667,0.3598611111111112,4.278021688160075,0.18625999677002586,0.5456833333333334,0.3898611111111111,1.6170455136011301,1.7468466504923026,-0.12000000000000019,5410.570496522165
0.5,37,0.5135135135135135,0.14513513513513515,0.33837837837837836,4.00035919543167,0.16690928319623974,0.5270053917050693,0.36837837837837833,1.586477422106002,1.7258400674638052,-0.12000000000000015,5300.150690470691
0.6,38,0.5,0.15460526315789475,0.3153947368421052,3.689740692395234,0.15207493617021278,0.5091626612903226,0.34539473684210525,1.5658647695812755,1.7121711573653209,-0.12000000000000015,5226.24601700939
0.75,40,0.525,0.179625,0.315375,3.8862325824324517,0.15838988372093024,0.4951439062500001,0.345375,1.5885663002187322,1.7200317859558634,-0.1200000000000003,5307.665064352386
