domain,n,mean_price,realized,CE,CE_t,disruptive
ai/tech,12,0.5,0.5,-4.625929269271485e-18,0.0,✓
crypto/financial,200,0.5015175,0.5,-0.0015175000000000039,-0.06611232339493985,✓
geopolitics,251,0.494304780876494,0.49800796812749004,0.003703187250996014,0.118310216219638,✓
other-binary,751,0.5003115845539281,0.5033288948069241,0.0030173102529960035,0.19274013420865643,
politics,284,0.49958978873239435,0.5,0.00041021126760563086,0.017578185135462283,✓
sports/other,176,0.5,0.5,0.0,-6.380048550798204e-17,
