date,(1) always short VIXY,(2) calm-gated short,(3) calm-gated + VIX<30 brk,"(4) vol-target 15%, no gate",(5a) vol-target + calm tilt only,(5b) vol-target + tilt + VIX brk
2011-01-04,,,,,,
2011-01-05,0.021005676661678185,0.0,0.0,0.0,0.0,0.0
2011-01-06,-0.004453731847348764,-0.0,-0.0,-0.0,-0.0,-0.0
2011-01-07,-0.002252855430821433,-0.0,-0.0,-0.0,-0.0,-0.0
2011-01-10,0.0018518179525355276,0.0,0.0,0.0,0.0,0.0
2011-01-11,0.02740816151833103,0.0,0.0,0.0,0.0,0.0
2011-01-12,0.04443383343918139,0.0,0.0,0.0,0.0,0.0
2011-01-13,0.011550032360329476,0.0,0.0,0.0,0.0,0.0
2011-01-14,0.041060328560328596,0.0,0.0,0.0,0.0,0.0
2011-01-18,0.030290281685248832,0.0,0.0,0.0,0.0,0.0
2011-01-19,-0.05225980300837363,-0.0,-0.0,-0.0,-0.0,-0.0
2011-01-20,0.008525843594493487,0.0,0.0,0.0,0.0,0.0
2011-01-21,-0.009720848133414783,-0.0,-0.0,-0.0,-0.0,-0.0
2011-01-24,0.021382264734773004,0.0,0.0,0.0,0.0,0.0
2011-01-25,0.01250973804654787,0.0,0.0,0.0,0.0,0.0
2011-01-26,0.03101922304651994,0.0,0.0,0.0,0.0,0.0
2011-01-27,0.018585948938728447,0.0,0.0,0.0,0.0,0.0
2011-01-28,-0.08393382125872395,-0.0,-0.0,-0.0,-0.0,-0.0
2011-01-31,0.003822842507676615,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.04738630251427656,0.0,0.0,0.0,0.0,0.0
2011-02-02,0.003889399565024098,0.0,0.0,0.0,0.0,0.0
2011-02-03,0.011659294811468768,0.0,0.0,0.0,0.0,0.0
2011-02-04,0.02334004884004881,0.0,0.0,0.007077024216027613,0.0035385121080138064,0.0035385121080138064
2011-02-07,0.018235493083846643,0.0,0.0,0.005640581034893764,0.002820290517446882,0.002820290517446882
2011-02-08,0.013445247012662698,0.0,0.0,0.004171339952452196,0.002085669976226098,0.002085669976226098
2011-02-09,-0.005080430599144981,-0.005580430599144981,-0.005580430599144981,-0.0015833228409981351,-0.0016608932696393266,-0.0016608932696393266
2011-02-10,0.0006113039007775705,0.0006113039007775705,0.0006113039007775705,0.00018886611241280594,0.00018886611241280594,0.00018886611241280594
2011-02-11,0.016009042731084833,0.016009042731084833,0.016009042731084833,0.004994665031255933,0.004994665031255933,0.004994665031255933
2011-02-14,0.008697798174733928,0.008697798174733928,0.008697798174733928,0.002805302888324925,0.002805302888324925,0.002805302888324925
2011-02-15,-0.013662508443093468,-0.013662508443093468,-0.013662508443093468,-0.004417185481586759,-0.004417185481586759,-0.004417185481586759
2011-02-16,-0.01200749913436483,-0.01200749913436483,-0.01200749913436483,-0.003981555795090453,-0.003981555795090453,-0.003981555795090453
2011-02-17,-0.009924462301265757,-0.009924462301265757,-0.009924462301265757,-0.0033348246977566464,-0.0033348246977566464,-0.0033348246977566464
2011-02-18,-0.010633474506086538,-0.010633474506086538,-0.010633474506086538,-0.003979688755681259,-0.003979688755681259,-0.003979688755681259
2011-02-22,-0.12507925159259758,-0.12507925159259758,-0.12507925159259758,-0.04621474904249278,-0.04621474904249278,-0.04621474904249278
2011-02-23,-0.044407452246435275,-0.044407452246435275,-0.044407452246435275,-0.011091722327344952,-0.011091722327344952,-0.011091722327344952
2011-02-24,0.013057369798543883,0.013057369798543883,0.013057369798543883,0.0031800899061054364,0.0031800899061054364,0.0031800899061054364
2011-02-25,0.060939352894459176,-0.0005,-0.0005,0.014847830431121534,0.007362983518805247,0.007362983518805247
2011-02-28,0.04287356861272762,0.0,0.0,0.009958694837112168,0.004979347418556084,0.004979347418556084
2011-03-01,-0.07328355154491861,-0.0,-0.0,-0.016633296086630747,-0.008316648043315373,-0.008316648043315373
2011-03-02,-0.004037457202891615,-0.0,-0.0,-0.0009414635494478825,-0.00047073177472394125,-0.00047073177472394125
2011-03-03,0.051501304015468374,0.0,0.0,0.011978007625096265,0.005989003812548133,0.005989003812548133
2011-03-04,-0.02872716549901022,-0.0,-0.0,-0.006639830378960629,-0.0033199151894803144,-0.0033199151894803144
2011-03-07,-0.02561229593977199,-0.0,-0.0,-0.00586325371754123,-0.002931626858770615,-0.002931626858770615
2011-03-08,0.0216115292361575,0.0,0.0,0.004930343017256888,0.002465171508628444,0.002465171508628444
