question,outcome,yes_wallets,no_wallets,p_count,p_shares,p_dollar,dispersion,yes_dollar,no_dollar
Fed decreases interest rates by 25 bps after December 2,1.0,782,1087,0.4184,0.4132,0.9618,0.5434,1765733.08,70068.74
Will Kamala Harris win the 2024 Democratic Presidential,1.0,987,560,0.638,0.7737,0.995,0.357,7080093.93,35249.62
Will Gavin Newsom win the 2024 US Presidential Election,0.0,2029,91,0.9571,0.985,0.0748,-0.8823,10854.44,134291.23
Will Elise Stefanik be the first elected Speaker of the,0.0,716,335,0.6813,0.9934,0.6004,-0.0808,219652.84,146170.16
Will there be a US Government shutdown? ,1.0,293,483,0.3776,0.3562,0.9952,0.6176,5264768.56,25369.01
Will the Chicago Bulls win the 2025 NBA Finals?,0.0,455,1059,0.3005,0.727,0.003,-0.2975,2438.27,810964.68
Will the Iranian regime fall by April 30?,0.0,873,858,0.5043,0.6752,0.0056,-0.4988,11868.12,2117065.63
Fed decreases interest rates by 50+ bps after October 2,0.0,1065,750,0.5868,0.8484,0.0321,-0.5547,51192.65,1542756.37
Will Lee Jun-seok be elected the next president of Sout,0.0,90,72,0.5556,0.6371,0.0079,-0.5476,14895.97,1860247.89
Israel x Iran ceasefire before July? ,1.0,803,605,0.5703,0.2587,0.9916,0.4212,2962576.68,25233.1
Fed decreases interest rates by 25 bps after October 20,1.0,1003,789,0.5597,0.529,0.9874,0.4277,4429112.13,56511.11
Will the Cleveland Browns win Super Bowl 2026?,0.0,167,576,0.2248,0.2573,0.0011,-0.2237,858.75,815576.53
Will Paris Saint-Germain win the UEFA Champions League?,1.0,745,479,0.6087,0.672,0.8824,0.2737,617606.64,82303.21
