horizon_d,scheme,n,cap_ret,tot_pnl,sharpe,maxdd,stake_min,stake_max
7,equal,47,0.4547055792504492,21.371162224771112,0.24705371316252167,-3.9475944905348506,1.0,1.0
7,inverse,47,0.9247089058649273,43.4613185756516,0.22695980503097815,-7.813239735119766,0.3581878784782179,3.0224234317304863
7,sqrt_inverse,47,0.6623980444633822,31.132708089778966,0.23948894913596483,-5.691945911930688,0.6279769262772196,1.824172474259451
7,proportional,47,0.20629567299659166,9.695896630839805,0.20993642754809722,-3.6971386888794764,0.2322462233516871,1.959715751329474
3,equal,36,0.27141822453580666,9.77105608328904,0.1372500893556462,-5.453209590100542,1.0,1.0
3,inverse,36,0.7801348917907315,28.08485610446633,0.16396016624363985,-7.358423228322528,0.3338557431160282,2.7248987795279636
3,sqrt_inverse,36,0.4889838974528959,17.60342030830426,0.15245261281349687,-6.347044184272672,0.6187619912264208,1.7677440730814111
3,proportional,36,0.09593545303967631,3.4536763094283476,0.11040339857879762,-3.784970402395396,0.2290700845377693,1.8696482137987456
1,equal,25,0.06014594813923587,1.5036487034808967,0.03546789447121407,-4.717868421454422,1.0,1.0
1,inverse,25,0.4919112468471433,12.297781171178578,0.10480447374409117,-7.033432694369342,0.4170182764891116,3.241916120590834
1,sqrt_inverse,25,0.21622971137490998,5.405742784372749,0.07556762750246025,-5.748428246468454,0.6802433628356921,1.896652009573017
1,proportional,25,-0.013339610672655341,-0.3334902668163835,-0.014738666661344381,-3.2454623915483998,0.2236559139784946,1.7387096774193547
