strategy,file,capital,stake_frac,final_equity,total_return,realized,unrealized,max_dd,trades_taken,trades_skipped,still_open,edge_tstat,n_resolved
Smart Flow,smart_flow_positions.csv,1000.0,0.1,475.36,-0.5246,-250.74,-273.9,-0.4057,23,10937,9,-1.9888,9636
Smart Flow (ROI),smart_flow_roi_positions.csv,1000.0,0.1,2352.14,1.3521,562.11,790.03,-0.27,34,565,13,-1.8212,365
Mid-priced YES,midprice_yes_positions.csv,1000.0,0.1,1158.8,0.1588,-75.06,233.86,-0.5108,20,591,6,-0.0565,596
Dip-Confirm YES,dip_confirm_positions.csv,1000.0,0.1,2045.45,1.0454,-94.68,1140.13,-0.4195,18,343,8,-1.9329,355
Macro (Fed cuts),macro_positions.csv,1000.0,0.1,1039.66,0.0397,0.0,39.66,0.0,1,0,1,,0
GLOBAL (equal-weight),,5000.0,0.1,7071.41,0.4143,141.64,1929.77,,,,,,
