question,horizon_d,price,outcome
Will Zohran Mamdani win the 2025 NYC mayoral elect,5,0.9415,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,3,0.9345,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,2,0.9375,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,1,0.9095,1.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,7,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,5,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,3,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,2,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,1,0.0005,0.0
"Russia x Ukraine ceasefire by May 31, 2026?",7,0.09,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",5,0.0625,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",3,0.0605,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",2,0.0555,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",1,0.042,1.0
Will the Panthers win Super Bowl 2025?,7,0.0005,0.0
Will the Panthers win Super Bowl 2025?,5,0.0005,0.0
Will the Panthers win Super Bowl 2025?,3,0.0005,0.0
Will the Panthers win Super Bowl 2025?,2,0.0015,0.0
Will the Panthers win Super Bowl 2025?,1,0.0005,0.0
Fed increases interest rates by 25+ bps after Nove,7,0.002,0.0
Fed increases interest rates by 25+ bps after Nove,5,0.0015,0.0
Fed increases interest rates by 25+ bps after Nove,3,0.0015,0.0
Fed increases interest rates by 25+ bps after Nove,2,0.002,0.0
Fed increases interest rates by 25+ bps after Nove,1,0.0035,0.0
Fed increases interest rates by 25+ bps after Dece,7,0.0025,0.0
Fed increases interest rates by 25+ bps after Dece,5,0.0015,0.0
Fed increases interest rates by 25+ bps after Dece,3,0.0015,0.0
Fed increases interest rates by 25+ bps after Dece,2,0.0005,0.0
Fed increases interest rates by 25+ bps after Dece,1,0.0005,0.0
Will Aston Villa win the UEFA Champions League?,7,0.0275,0.0
Will Aston Villa win the UEFA Champions League?,5,0.0075,0.0
Will Aston Villa win the UEFA Champions League?,3,0.0075,0.0
Will Aston Villa win the UEFA Champions League?,2,0.013,0.0
Will Aston Villa win the UEFA Champions League?,1,0.012,0.0
Khamenei out as Supreme Leader of Iran by February,7,0.0185,1.0
Khamenei out as Supreme Leader of Iran by February,5,0.0155,1.0
Khamenei out as Supreme Leader of Iran by February,3,0.9525,1.0
Khamenei out as Supreme Leader of Iran by February,2,0.9985,1.0
Khamenei out as Supreme Leader of Iran by February,1,0.9985,1.0
Will the Washington Wizards win the 2025 NBA Final,7,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,5,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,3,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,2,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,1,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,7,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,5,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,3,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,2,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,1,0.0015,0.0
Will Trump nominate Judy Shelton as the next Fed c,7,0.0335,0.0
Will Trump nominate Judy Shelton as the next Fed c,5,0.0395,0.0
Will Trump nominate Judy Shelton as the next Fed c,3,0.054,0.0
Will Trump nominate Judy Shelton as the next Fed c,2,0.037,0.0
Will Trump nominate Judy Shelton as the next Fed c,1,0.0405,0.0
Will the Raiders win Super Bowl 2025?,7,0.0035,0.0
Will the Raiders win Super Bowl 2025?,5,0.0035,0.0
Will the Raiders win Super Bowl 2025?,3,0.0035,0.0
Will the Raiders win Super Bowl 2025?,2,0.0035,0.0
Will the Raiders win Super Bowl 2025?,1,0.0035,0.0
Will Donald Trump win the popular vote in the 2024,7,0.2565,1.0
Will Donald Trump win the popular vote in the 2024,5,0.2855,1.0
Will Donald Trump win the popular vote in the 2024,3,0.9975,1.0
Will Donald Trump win the popular vote in the 2024,2,0.9935,1.0
Will Donald Trump win the popular vote in the 2024,1,0.995,1.0
TikTok banned in the US before May 2025?,7,0.63,1.0
TikTok banned in the US before May 2025?,5,0.63,1.0
TikTok banned in the US before May 2025?,3,0.84,1.0
TikTok banned in the US before May 2025?,2,0.954,1.0
TikTok banned in the US before May 2025?,1,0.9955,1.0
Will the Titans win Super Bowl 2025?,7,0.0015,0.0
Will the Titans win Super Bowl 2025?,5,0.0015,0.0
Will the Titans win Super Bowl 2025?,3,0.0015,0.0
Will the Titans win Super Bowl 2025?,2,0.0015,0.0
Will the Titans win Super Bowl 2025?,1,0.0005,0.0
Will the Charlotte Hornets win the 2025 NBA Finals,7,0.0005,0.0
Will the Charlotte Hornets win the 2025 NBA Finals,5,0.0005,0.0
Will the Charlotte Hornets win the 2025 NBA Finals,3,0.0005,0.0
Will the Charlotte Hornets win the 2025 NBA Finals,2,0.0005,0.0
Will the Charlotte Hornets win the 2025 NBA Finals,1,0.0005,0.0
Will any other Democratic Politician win the 2024 ,7,0.0005,0.0
Will any other Democratic Politician win the 2024 ,5,0.0005,0.0
Will any other Democratic Politician win the 2024 ,3,0.0005,0.0
Will any other Democratic Politician win the 2024 ,2,0.0005,0.0
Will any other Democratic Politician win the 2024 ,1,0.0005,0.0
Will the Browns win Super Bowl 2025?,7,0.0005,0.0
Will the Browns win Super Bowl 2025?,5,0.0015,0.0
Will the Browns win Super Bowl 2025?,3,0.0005,0.0
Will the Browns win Super Bowl 2025?,2,0.0015,0.0
Will the Browns win Super Bowl 2025?,1,0.001,0.0
Will Frances Fitzgerald win the Irish Presidential,7,0.0005,0.0
Will Frances Fitzgerald win the Irish Presidential,5,0.0005,0.0
Will Frances Fitzgerald win the Irish Presidential,3,0.0005,0.0
Will Frances Fitzgerald win the Irish Presidential,2,0.0005,0.0
Will Frances Fitzgerald win the Irish Presidential,1,0.0005,0.0
Will the Democratic candidate win Pennsylvania by ,7,0.001,0.0
Will the Democratic candidate win Pennsylvania by ,5,0.001,0.0
Will the Democratic candidate win Pennsylvania by ,3,0.0005,0.0
Will the Democratic candidate win Pennsylvania by ,2,0.0005,0.0
Will the Democratic candidate win Pennsylvania by ,1,0.0005,0.0
Will the Giants win Super Bowl 2025?,7,0.0035,0.0
Will the Giants win Super Bowl 2025?,5,0.0035,0.0
Will the Giants win Super Bowl 2025?,3,0.0035,0.0
Will the Giants win Super Bowl 2025?,2,0.0035,0.0
Will the Giants win Super Bowl 2025?,1,0.0035,0.0
Will Nikki Haley win the 2024 US Presidential Elec,7,0.0005,0.0
Will Nikki Haley win the 2024 US Presidential Elec,5,0.0005,0.0
Will Nikki Haley win the 2024 US Presidential Elec,3,0.0005,0.0
Will Nikki Haley win the 2024 US Presidential Elec,2,0.0005,0.0
Will Nikki Haley win the 2024 US Presidential Elec,1,0.0005,0.0
No change in Fed interest rates after January 2026,7,0.9715,1.0
No change in Fed interest rates after January 2026,5,0.9805,1.0
No change in Fed interest rates after January 2026,3,0.9905,1.0
No change in Fed interest rates after January 2026,2,0.9905,1.0
No change in Fed interest rates after January 2026,1,0.988,1.0
Netanyahu out by March 31?,7,0.007,0.0
Netanyahu out by March 31?,5,0.0035,0.0
Netanyahu out by March 31?,3,0.0015,0.0
Netanyahu out by March 31?,2,0.0005,0.0
Netanyahu out by March 31?,1,0.0005,0.0
Fed increases interest rates by 25+ bps after Octo,7,0.0015,0.0
Fed increases interest rates by 25+ bps after Octo,5,0.0015,0.0
Fed increases interest rates by 25+ bps after Octo,3,0.0005,0.0
Fed increases interest rates by 25+ bps after Octo,2,0.0005,0.0
Fed increases interest rates by 25+ bps after Octo,1,0.0005,0.0
Nottingham Forest wins the Premier League?,7,0.0025,0.0
Nottingham Forest wins the Premier League?,5,0.0025,0.0
Nottingham Forest wins the Premier League?,3,0.0005,0.0
Nottingham Forest wins the Premier League?,2,0.0005,0.0
Nottingham Forest wins the Premier League?,1,0.0005,0.0
Fed decreases interest rates by 25 bps after Janua,7,0.0245,0.0
Fed decreases interest rates by 25 bps after Janua,5,0.0165,0.0
Fed decreases interest rates by 25 bps after Janua,3,0.0065,0.0
Fed decreases interest rates by 25 bps after Janua,2,0.0065,0.0
Fed decreases interest rates by 25 bps after Janua,1,0.0075,0.0
Will Hillary Clinton win the 2024 US Presidential ,7,0.0005,0.0
Will Hillary Clinton win the 2024 US Presidential ,5,0.0005,0.0
Will Hillary Clinton win the 2024 US Presidential ,3,0.0005,0.0
Will Hillary Clinton win the 2024 US Presidential ,2,0.0005,0.0
Will Hillary Clinton win the 2024 US Presidential ,1,0.0005,0.0
Will Gavin Newsom be D-nom for VP on Election Day?,7,0.0005,0.0
Will Gavin Newsom be D-nom for VP on Election Day?,5,0.0005,0.0
Will Gavin Newsom be D-nom for VP on Election Day?,3,0.0005,0.0
Will Gavin Newsom be D-nom for VP on Election Day?,2,0.0005,0.0
Will Gavin Newsom be D-nom for VP on Election Day?,1,0.0005,0.0
Will Chelsea win the 2025–26 English Premier Leagu,7,0.0005,0.0
Will Chelsea win the 2025–26 English Premier Leagu,5,0.0005,0.0
Will Chelsea win the 2025–26 English Premier Leagu,3,0.0005,0.0
Will Chelsea win the 2025–26 English Premier Leagu,2,0.0005,0.0
Will Chelsea win the 2025–26 English Premier Leagu,1,0.0005,0.0
Will Trump release the Epstein files by December 1,7,0.645,1.0
Will Trump release the Epstein files by December 1,5,0.625,1.0
Will Trump release the Epstein files by December 1,3,0.9985,1.0
Will Trump release the Epstein files by December 1,2,0.9965,1.0
Will Trump release the Epstein files by December 1,1,0.9975,1.0
"US strikes Iran by February 28, 2026?",7,0.255,1.0
"US strikes Iran by February 28, 2026?",5,0.195,1.0
"US strikes Iran by February 28, 2026?",3,0.175,1.0
"US strikes Iran by February 28, 2026?",2,0.095,1.0
"US strikes Iran by February 28, 2026?",1,0.085,1.0
Southampton wins the Premier League?,7,0.0025,0.0
Southampton wins the Premier League?,5,0.0025,0.0
Southampton wins the Premier League?,3,0.0025,0.0
Southampton wins the Premier League?,2,0.0015,0.0
Southampton wins the Premier League?,1,0.0015,0.0
Will Lee Jae-myung be elected the next president o,7,0.901,1.0
Will Lee Jae-myung be elected the next president o,5,0.9345,1.0
Will Lee Jae-myung be elected the next president o,3,0.9545,1.0
Will Lee Jae-myung be elected the next president o,2,0.9515,1.0
Will Lee Jae-myung be elected the next president o,1,0.9465,1.0
"US x Iran permanent peace deal by May 31, 2026?",7,0.235,0.0
"US x Iran permanent peace deal by May 31, 2026?",5,0.235,0.0
"US x Iran permanent peace deal by May 31, 2026?",3,0.115,0.0
