rule,n,mean_ret,median_ret,sharpe,tot_pnl,maxdd,n_cut,cut_would_have_won
hold,50,0.39843099643340674,0.2026671295090977,0.22055484017943336,19.921549821670336,-4.758535071384234,0,0
stop_30,50,0.21258218395558548,-0.41235431235431236,0.13750090917975316,10.629109197779274,-4.823683711485435,22,5
stop_50,50,0.2642872208438421,0.10589300018956416,0.1661102862142951,13.214361042192106,-5.03114734209897,19,2
trail_25,50,0.20077890072900398,-0.32398077265444203,0.1315350529857976,10.0389450364502,-6.219015396839302,24,6
below_d3,50,0.12311229278035948,-0.14214764090601262,0.10937409014014174,6.1556146390179745,-2.918946091169487,35,14
decay,50,0.07464496668789347,-0.22365886404763285,0.06321031192170957,3.7322483343946735,-4.96484576061799,32,12
