horizon_d,lo,hi,n,win_rate,mean_ret,median_ret,std,sharpe,total_pnl,avg_entry
21,0.1,0.3,133,0.2781954887218045,0.3330493306934447,-1.0,2.2684022800303243,0.1468211055972808,44.295560982228146,0.20706766917293232
21,0.3,0.5,88,0.4090909090909091,-0.0012687176950049275,-1.0,1.228095918459421,-0.001033077038963263,-0.11164715716043361,0.4171193181818182
21,0.5,0.7,66,0.6060606060606061,-0.01389176435905688,0.42400892223461406,0.8114844422833516,-0.017118953408358995,-0.9168564476977541,0.6107954545454546
21,0.7,0.9,46,0.717391304347826,-0.11926415400777515,0.15473595082371616,0.5647646338861946,-0.21117496891954465,-5.486151084357657,0.8154130434782607
21,0.1,0.5,221,0.33031674208144796,0.19992721187813448,-1.0,1.9263247402871313,0.10378686817277445,44.18391382506772,0.29070814479638013
21,0.5,0.9,112,0.6517857142857143,-0.05716971010763759,0.22334455667788988,0.7194661056540461,-0.07946129728469452,-6.40300753205541,0.6948348214285714
21,0.4,0.7,108,0.5185185185185185,-0.0860600630919181,0.39860139860139876,0.9052032867482019,-0.09507263655777821,-9.294486813927156,0.5551805555555556
21,0.5,0.8,88,0.6363636363636364,-0.021856556853780292,0.36986301369863006,0.7609636329723766,-0.028722209454881662,-1.9233770031326658,0.6484375
21,0.6,0.9,73,0.6986301369863014,-0.0827927383971216,0.1976047904191618,0.6183788967290148,-0.13388674619244476,-6.0438699029898775,0.762527397260274
21,0.3,0.9,200,0.545,-0.032573273446079215,0.15141391242095215,0.9741023285777458,-0.03343927274420785,-6.514654689215844,0.57264
21,0.1,0.9,333,0.43843843843843844,0.11345617505409099,-1.0,1.6268920243420395,0.06973798712915556,37.7809062930123,0.42663063063063056
14,0.1,0.3,140,0.2857142857142857,0.44334124550706694,-1.0,2.4415917109587575,0.18157878056236393,62.06777437098937,0.202175
14,0.3,0.5,89,0.43820224719101125,0.060068983404102085,-1.0,1.2265645162307435,0.048973358196187866,5.346139522965085,0.4219044943820225
14,0.5,0.7,69,0.6231884057971014,0.00629478097065505,0.4388489208633093,0.7990110337002347,0.007878215325142388,0.43433988697519843,0.6219130434782607
14,0.7,0.9,48,0.7916666666666666,-0.015290363740235105,0.2012120337637977,0.5174590264578943,-0.029548936163894098,-0.7339374595312851,0.80915625
14,0.1,0.5,229,0.34497816593886466,0.29438390346704996,-1.0,2.061569553102558,0.14279600851885743,67.41391389395444,0.2875720524017467
14,0.5,0.9,117,0.6923076923076923,-0.002560663013299886,0.30718954248366015,0.6948738208578824,-0.0036850762490066523,-0.29959757255608666,0.6987307692307692
14,0.4,0.7,116,0.5517241379310345,-0.009658820877434882,0.42248661992492975,0.9242040622795002,-0.010450961288367325,-1.1204232217824464,0.5587370689655171
14,0.5,0.8,97,0.6701030927835051,0.014212019625169273,0.34228187919463093,0.7333652539725197,0.019379183221709898,1.3785659036414195,0.6621494845360825
14,0.6,0.9,82,0.7317073170731707,-0.027304106322869587,0.24621476822734678,0.6048523922039447,-0.04514176793346163,-2.238936718475306,0.7513719512195122
14,0.3,0.9,206,0.5825242718446602,0.024497776458296112,0.22699386503067487,0.9591697555648442,0.02554060562915649,5.046541950408999,0.5791310679611651
14,0.1,0.9,346,0.4624277456647399,0.1939720124895906,-1.0,1.7294167007660104,0.112160367367607,67.11431632139835,0.4266054913294798
10,0.1,0.3,137,0.31386861313868614,0.5287601696515155,-1.0,2.387578340558788,0.22146296130654491,72.44014324225762,0.20445985401459857
10,0.3,0.5,94,0.5212765957446809,0.24903937967883893,0.941747572815534,1.2327334880458471,0.20202207702949723,23.40970168981086,0.41966489361702125
10,0.5,0.7,106,0.5566037735849056,-0.09833276691899814,0.41843971631205656,0.8173372304616272,-0.12030868441348301,-10.423273293413803,0.613122641509434
10,0.7,0.9,59,0.847457627118644,0.06808845312204634,0.25,0.4644718333807685,0.14659328774890046,4.017218734200734,0.7992796610169492
10,0.1,0.5,231,0.39826839826839827,0.41493439364531814,-1.0,2.0010430869168014,0.20735905006655667,95.84984493206849,0.2920324675324675
10,0.5,0.9,165,0.6606060606060606,-0.038824573086139826,0.30718954248366015,0.7144269220634715,-0.05434365907432944,-6.4060545592130715,0.6796878787878788
10,0.4,0.7,153,0.5620915032679739,-0.005021831620835656,0.4204545454545454,0.9038009285641719,-0.005556347047367627,-0.7683402379878554,0.5701601307189542
10,0.5,0.8,147,0.6326530612244898,-0.04585039855205135,0.32450331125827825,0.7461775940824922,-0.061447032068055435,-6.740008587151548,0.6557142857142856
10,0.6,0.9,103,0.7669902912621359,0.029098582905836702,0.30718954248366015,0.582236305089509,0.04997727323335375,2.99715403930118,0.7452135922330098
10,0.3,0.9,259,0.61003861003861,0.0656511472223853,0.30718954248366015,0.944167446080989,0.06953337302073626,17.00364713059779,0.5853166023166023
10,0.1,0.9,396,0.5075757575757576,0.22586815750721062,0.11114540572239884,1.6104752434227947,0.14024938193223374,89.4437903728554,0.45355555555555555
7,0.1,0.3,128,0.3046875,0.48268633845366266,-1.0,2.3689185712719496,0.20375809633443526,61.78385132206882,0.20436328125000003
7,0.3,0.5,102,0.5098039215686274,0.22476105247481776,0.941747572815534,1.2325161275197332,0.18235952248926596,22.925627352431412,0.4175735294117646
7,0.5,0.7,105,0.5904761904761905,-0.038410251486202675,0.4388489208633093,0.814704976487577,-0.04714620948039388,-4.033076406051281,0.6150619047619048
7,0.7,0.9,59,0.8135593220338984,0.002768787001096806,0.21212121212121193,0.48985061887409337,0.00565230887624635,0.16335843306471154,0.8093813559322034
7,0.1,0.5,230,0.39565217391304347,0.3683020811934793,-1.0,1.9490233567415918,0.18896750514535268,84.70947867450023,0.29891739130434786
7,0.5,0.9,164,0.6707317073170732,-0.023595841298698583,0.2579113924050632,0.7136304901712617,-0.03306450834665977,-3.8697179729865674,0.684969512195122
7,0.4,0.7,158,0.5759493670886076,0.03143733685565188,0.44927536231884035,0.9135721667802401,0.034411443341633825,4.967099223192997,0.5654462025316456
7,0.5,0.8,138,0.6304347826086957,-0.032748221725218726,0.32450331125827825,0.7609735936660832,-0.043034636152681945,-4.519254598080185,0.6519492753623188
7,0.6,0.9,110,0.7090909090909091,-0.05935462625415334,0.2304885618688589,0.6167139489293899,-0.09624336591898473,-6.529008887956867,0.7433863636363636
7,0.3,0.9,266,0.6090225563909775,0.0716387570655821,0.26985406756429886,0.9522929901427889,0.07522764297030102,19.05590937944484,0.5824342105263158
7,0.1,0.9,394,0.5101522842639594,0.20517705761805496,0.11111111111111116,1.5691156990863024,0.13075967421492868,80.83976070151365,0.4596091370558376
5,0.1,0.3,139,0.3597122302158273,0.7996392836337161,-1.0,2.539335406383506,0.314901009777418,111.14986042508653,0.21028417266187052
5,0.3,0.5,124,0.5241935483870968,0.24070745461041665,0.9609727963087571,1.2110669019018268,0.19875652966191723,29.847724371691665,0.4304838709677419
5,0.5,0.7,142,0.6338028169014085,0.03705251549479893,0.45985401459854014,0.8019444131139774,0.04620334637774052,5.261457200261448,0.6134295774647888
5,0.7,0.9,61,0.8688524590163934,0.0754750992115818,0.1976047904191618,0.43035121425382705,0.17538023993366858,4.60398105190649,0.8068032786885246
5,0.1,0.5,263,0.4372623574144487,0.5361124897215901,-1.0,2.040366273217688,0.26275306387815,140.9975847967782,0.3141045627376426
5,0.5,0.9,203,0.7044334975369458,0.04859821799097507,0.34228187919463093,0.7100910420366964,0.06843941848862754,9.86543825216794,0.6715369458128079
5,0.4,0.7,216,0.6064814814814815,0.08953192281782936,0.5037593984962405,0.9072872627977839,0.09868089908122542,19.33889532865114,0.5643958333333333
5,0.5,0.8,177,0.6666666666666666,0.0401929000262026,0.39860139860139876,0.755478137213497,0.053201936689326254,7.11414330463786,0.6425960451977402
5,0.6,0.9,127,0.7637795275590551,0.033949000719993724,0.2738853503184713,0.5924192126394247,0.05730570514203892,4.311523091439203,0.7344960629921259
5,0.3,0.9,327,0.636085626911315,0.1214469805010997,0.3513513513513513,0.9351639385690165,0.12986704843103478,39.7131626238596,0.5801284403669724
5,0.1,0.9,466,0.5536480686695279,0.32374039280889727,0.2195575385759434,1.6196472716662906,0.19988326993928354,150.86302304894613,0.46981008583690986
3,0.1,0.3,103,0.32038834951456313,0.6183581776593569,-1.0,2.4991889094096433,0.2474235442271649,63.69089229891376,0.2108640776699029
3,0.3,0.5,131,0.5343511450381679,0.23738540786145967,0.941747572815534,1.1870133832244025,0.19998545190503755,31.097488429851218,0.4305152671755726
3,0.5,0.7,138,0.5942028985507246,-0.025649025669068837,0.4571950932074005,0.8175995589639686,-0.03137113442376402,-3.5395655423314993,0.6110253623188406
3,0.7,0.9,60,0.8166666666666667,0.0005776222670119088,0.17995127044900805,0.48497575127035875,0.0011910332949613856,0.034657336020714524,0.8162666666666667
3,0.1,0.5,234,0.44017094017094016,0.4050785501229273,-1.0,1.8858242872684148,0.21480185235586124,94.78838072876499,0.3338311965811966
3,0.5,0.9,198,0.6616161616161617,-0.017701556597529207,0.2738853503184713,0.7317523286770685,-0.02419063924201207,-3.504908206310783,0.6732196969696971
3,0.4,0.7,213,0.6009389671361502,0.08445625781436371,0.5151515151515151,0.9095767285478703,0.09285226321609749,17.98918291445947,0.5626478873239437
3,0.5,0.8,167,0.6287425149700598,-0.014510015851239436,0.3793103448275863,0.7756935263431575,-0.018705861733362437,-2.423172647156986,0.6372215568862275
3,0.6,0.9,124,0.7419354838709677,0.0069003906631739925,0.27065623662945104,0.6125437140551148,0.011265139948123143,0.8556484422335751,0.7380725806451612
3,0.3,0.9,329,0.6109422492401215,0.08386802499556362,0.29032258064516125,0.946408498574008,0.08861715117935962,27.59258022354043,0.576580547112462
3,0.1,0.9,432,0.5416666666666666,0.21130433454271802,0.17647058823529416,1.4872089931051231,0.1420811301722555,91.28347252245419,0.48938425925925927
1,0.1,0.3,81,0.35802469135802467,0.6540389659052965,-1.0,2.369716536763318,0.27599881916620156,52.977156238329016,0.22329629629629633
1,0.3,0.5,115,0.5130434782608696,0.20177186669735436,0.941747572815534,1.1943542217130998,0.16893804453418068,23.203764670195753,0.4272652173913043
