,equity
2023-12-31 00:00:00.000,1000.0
2024-01-15 00:00:00.000,990.0
2024-05-14 00:00:00.000,990.0
2024-05-31 12:00:00.000,1040.1
2024-07-11 00:00:00.000,1040.1
2024-07-27 00:00:00.000,1040.1
2024-07-27 00:00:00.000,1040.1
2024-07-28 00:00:00.000,1040.1
2024-07-31 00:00:00.000,1040.1
2024-08-22 12:00:00.000,1101.9281666666668
2024-08-22 12:00:00.000,1091.5271666666667
2024-08-22 12:00:00.000,1081.1261666666667
2024-08-22 12:00:00.000,1070.7251666666668
2024-08-23 00:00:00.000,1070.7251666666668
2024-08-23 12:00:00.000,1060.0179150000001
2024-09-08 00:00:00.000,1060.0179150000001
2024-09-18 12:00:00.000,1087.96384185
2024-09-24 00:00:00.000,1087.96384185
2024-09-29 00:00:00.000,1087.96384185
2024-09-30 12:00:00.000,1077.0842034315
2024-09-30 12:00:00.000,1143.9162680022857
2024-10-06 00:00:00.000,1143.9162680022855
2024-10-12 00:00:00.000,1143.9162680022855
2024-10-15 12:00:00.000,1132.4771053222626
2024-10-20 00:00:00.000,1132.4771053222628
2024-10-27 00:00:00.000,1132.4771053222628
2024-10-27 00:00:00.000,1132.4771053222628
2024-10-27 00:00:00.000,1132.477105322263
2024-10-28 00:00:00.000,1132.477105322263
2024-10-28 00:00:00.000,1132.477105322263
2024-10-28 00:00:00.000,1132.4771053222632
2024-10-28 00:00:00.000,1132.4771053222632
2024-10-28 00:00:00.000,1132.4771053222632
2024-10-28 00:00:00.000,1132.477105322263
2024-10-28 00:00:00.000,1132.477105322263
2024-10-31 00:00:00.000,1132.477105322263
2024-10-31 00:00:00.000,1132.477105322263
2024-10-31 00:00:00.000,1132.477105322263
2024-10-31 12:00:00.000,1202.0435560777735
2024-11-01 00:00:00.000,1202.0435560777735
2024-11-02 00:00:00.000,1202.0435560777735
2024-11-02 00:00:00.000,1202.0435560777735
2024-11-02 00:00:00.000,1202.0435560777735
2024-11-03 00:00:00.000,1202.0435560777735
2024-11-04 00:00:00.000,1202.0435560777735
2024-11-04 00:00:00.000,1202.0435560777735
2024-11-04 12:00:00.000,1190.718785024551
2024-11-04 12:00:00.000,1178.6983494637732
2024-11-04 12:00:00.000,1211.7844452859333
2024-11-04 12:00:00.000,1200.3452826059106
2024-11-04 12:00:00.000,1189.0205115526878
2024-11-04 12:00:00.000,1178.619511552688
2024-11-05 00:00:00.000,1178.619511552688
2024-11-05 12:00:00.000,1166.5990759919102
2024-11-05 12:00:00.000,1155.2743049386875
2024-11-05 12:00:00.000,1143.2538693779097
2024-11-05 12:00:00.000,1131.233433817132
2024-11-05 12:00:00.000,1161.0896484119917
2024-11-05 12:00:00.000,1185.9983543589797
