entry_d,exit_d,n,mean_ret,median_ret,win_rate,sharpe,tot_pnl
7,5,47,-0.15613193375431242,-0.10649161196207158,0.1702127659574468,-0.39774392067461456,-7.338200886452684
7,3,47,0.14322080830061854,-0.05673758865248235,0.44680851063829785,0.14146184962277464,6.731377990129071
7,2,47,0.15349822267176813,-0.0604651162790697,0.3829787234042553,0.14379785234854986,7.214416465573103
7,1,47,0.1483628505781342,-0.05673758865248235,0.40425531914893614,0.13572436225058607,6.973053977172307
7,0,47,0.4547055792504492,0.20772946859903363,0.574468085106383,0.24705371316252164,21.371162224771112
5,3,50,0.16988037272424933,-0.04015097286392921,0.44,0.1954306803255573,8.494018636212466
5,2,50,0.1593965960107732,-0.03621396498991347,0.44,0.16380113771020624,7.96982980053866
5,1,50,0.1352126165418535,-0.048053833696319936,0.42,0.13373033303697285,6.760630827092674
5,0,50,0.308173709494417,0.18731361220342702,0.58,0.18725569913085027,15.408685474720851
3,2,36,-0.1373602932292205,-0.07999340493687584,0.2222222222222222,-0.43717572632314877,-4.944970556251938
3,1,36,-0.18673762798568733,-0.09053146693979752,0.2222222222222222,-0.5007920532820381,-6.722554607484744
3,0,36,0.2714182245358066,0.1481601096749956,0.5277777777777778,0.1372500893556462,9.771056083289038
2,1,29,-0.17671523823290308,-0.10569105691056913,0.13793103448275862,-0.75104641521653,-5.1247419087541894
2,0,29,0.17746858368573745,-1.0,0.4482758620689655,0.08582358020333752,5.146588926886386
