date,liq,vix_ts,credit,dollar,tug,vote,flip_f,vote_eff,exposure,w_qld,w_uup,qld_close,uup_close,liq_stale_days,strategy_return,equity
2026-06-26,0.7958657482441922,0.8940767828827243,0.22384248735287987,0.20617537674165398,1.0,0.6239920790442901,0.1613756613756614,0.6224554418163869,1.2449108836327738,0.6224554418163869,0.3775445581836131,89.12000274658203,28.459999084472656,15,,1.0
2026-07-01,0.7944516477579692,0.9836270256723714,0.16068984615020193,0.2561672971999701,1.0,0.6389871633561025,0.30026455026455023,0.6330123238719441,1.2660246477438881,0.6330123238719441,0.36698767612805594,93.9000015258789,28.489999771118164,20,0.03378371191474476,1.0337837119147448
2026-07-02,0.7378363047001616,1.0,0.4505149587594734,0.23337223758458242,1.0,0.6843447002088434,0.2235449735449735,0.6728678660085782,1.3457357320171563,0.6728678660085782,0.3271321339914218,90.61000061035156,28.34000015258789,21,-0.024111219004261837,1.0088579264337296
2026-07-06,0.7357779578606162,1.0,0.46675984711368884,0.27051186392043713,1.0,0.6946099337789484,0.23809523809523814,0.6804340038751577,1.3608680077503155,0.6804340038751577,0.31956599612484227,93.13999938964844,28.31999969482422,25,0.01855684736991483,1.0275791489924893
2026-07-07,0.7357779578606162,1.0,0.46675984711368884,0.27051186392043713,1.0,0.6946099337789484,0.23809523809523814,0.6804340038751577,1.3608680077503155,0.6804340038751577,0.31956599612484227,89.69000244140625,28.399999618530273,26,-0.024301215061589856,1.0026077271000173
2026-07-08,0.7357779578606162,1.0,0.46675984711368884,0.27051186392043713,1.0,0.6946099337789484,0.2605820105820106,0.6790951660509109,1.3581903321018218,0.6790951660509109,0.3209048339490891,90.13999938964844,28.360000610351562,27,0.002963824065370953,1.0055792800097232
2026-07-09,0.7357779578606162,1.0,0.46675984711368884,0.27051186392043713,1.0,0.6946099337789484,0.24867724867724872,0.6798039625461005,1.359607925092201,0.6798039625461005,0.32019603745389946,93.13999938964844,28.360000610351562,28,0.022601348035805477,1.0283067272948174
2026-07-10,0.7207562682042266,1.0,0.5185015482232972,0.1854775415293229,1.0,0.6849470715913692,0.28042328042328046,0.6731976335539556,1.3463952671079111,0.6731976335539556,0.32680236644604443,93.69999694824219,28.389999389648438,29,0.004425971033702356,1.0328579830835856
2026-07-13,0.7242329291120684,1.0,0.5829294573787467,0.15485134435679176,0.7630975237732558,0.6450222509241726,0.328042328042328,0.6436989091633518,1.2873978183267036,0.6436989091633518,0.3563010908366482,90.12999725341797,28.5,32,-0.02438280729710448,1.0076740059167824
2026-07-14,0.7242329291120684,1.0,0.5829294573787467,0.15485134435679176,0.7630975237732558,0.6450222509241726,0.328042328042328,0.6436989091633518,1.2873978183267036,0.6436989091633518,0.3563010908366482,92.12999725341797,28.389999389648438,33,0.012908583677399867,1.0206816501417
2026-07-15,0.7242329291120684,1.0,0.5829294573787467,0.15485134435679176,0.7630975237732558,0.6450222509241726,0.31481481481481477,0.6437522697182236,1.2875045394364473,0.6437522697182236,0.35624773028177636,91.61000061035156,28.25,34,-0.0053901658961277455,1.0151800067203027
2026-07-16,0.7242329291120684,1.0,0.5829294573787467,0.15485134435679176,0.7630975237732558,0.6450222509241726,0.3042328042328042,0.6437949581621211,1.2875899163242421,0.6437949581621211,0.35620504183787893,88.56999969482422,28.34000015258789,35,-0.020227427856875757,0.9946455263726253
2026-07-17,0.6303342285884809,1.0,0.5905661018941838,0.10786215746850786,0.9701569352837829,0.659783884646991,0.4193121693121693,0.6491208088700301,1.2982416177400602,0.6491208088700301,0.3508791911299699,85.91000366210938,28.329999923706055,36,-0.01946059213576005,0.9752891354642292
2026-07-20,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3743386243386243,0.6185464112720832,1.2370928225441664,0.6185464112720832,0.3814535887279168,86.02999877929688,28.389999389648438,39,0.001649781005544298,0.9768981489548318
2026-07-21,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3743386243386243,0.6185464112720832,1.2370928225441664,0.6185464112720832,0.3814535887279168,89.2300033569336,28.479999542236328,40,0.02421694739900527,1.0005556400422566
2026-07-22,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.35185185185185186,0.6180559896930116,1.2361119793860231,0.6180559896930116,0.38194401030698844,88.27999877929688,28.450000762939453,41,-0.006987270340543455,0.9935644872945258
2026-07-23,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.35317460317460314,0.6180848380211922,1.2361696760423844,0.6180848380211922,0.3819151619788078,85.0,28.559999465942383,42,-0.021486815000508926,0.9722159509649528
2026-07-24,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3478835978835979,0.6179694447084695,1.235938889416939,0.6179694447084695,0.3820305552915305,83.0,28.579999923706055,43,-0.014275718940509271,0.9583368692994972
2026-07-27,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3664021164021164,0.6183733213029992,1.2367466426059983,0.6183733213029992,0.38162667869700084,82.4800033569336,28.600000381469727,46,-0.003604243498393748,0.9548827898690535
2026-07-28,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3664021164021164,0.6183733213029992,1.2367466426059983,0.6183733213029992,0.38162667869700084,80.87000274658203,28.579999923706055,47,-0.012337457250840997,0.9431019642694802
2026-07-29,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3849206349206349,0.6187771978975287,1.2375543957950574,0.6187771978975287,0.3812228021024713,77.58000183105469,28.420000076293945,48,-0.027293492817995077,0.9173614175810542
2026-07-30,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.35978835978835977,0.6182290796620956,1.2364581593241912,0.6182290796620956,0.3817709203379044,82.68000030517578,28.139999389648438,49,0.03692163000496326,0.9512318964218105
2026-07-31,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3862433862433863,0.6188060462257094,1.237612092451419,0.6188060462257094,0.38119395377429055,83.66999816894531,28.170000076293945,50,0.0078095964026889475,0.9586606336182293
2026-08-03,0.6684209525051906,0.991781600517613,0.5752926918199193,0.1457192203378439,0.6706972068041748,0.6103823343969483,0.3756613756613757,0.6185752596002639,1.2371505192005279,0.6185752596002639,0.38142474039973606,86.80000305175781,28.184999465942383,53,0.0233518408428814,0.981047124156818
