Date,BTAL,COMT,CTA,CWB,DBC,DBMF,FMF,GLD,GMOM,HFND,JEPI,KMLM,MNA,NTSX,PDBC,QAI,QQQ,QYLD,RLY,RSBT,RSSB,RSST,RYLD,SPY,SVOL,TAIL,WTMF
2007-01-03,,,,,19.33003044128418,,,62.279998779296875,,,,,,,,,37.07957077026367,,,,,,,99.12419128417969,,,
2007-01-04,,,,,18.82647705078125,,,61.650001525878906,,,,,,,,,37.78276443481445,,,,,,,99.33454895019531,,,
2007-01-05,,,,,18.76150131225586,,,60.16999816894531,,,,,,,,,37.60266876220703,,,,,,,98.54224395751953,,,
2007-01-08,,,,,18.858964920043945,,,60.47999954223633,,,,,,,,,37.62840270996094,,,,,,,98.9980239868164,,,
2007-01-09,,,,,18.69652557373047,,,60.849998474121094,,,,,,,,,37.81705856323242,,,,,,,98.9138412475586,,,
2007-01-10,,,,,18.420379638671875,,,60.59000015258789,,,,,,,,,38.26297378540039,,,,,,,99.243408203125,,,
2007-01-11,,,,,18.39601707458496,,,60.630001068115234,,,,,,,,,38.657432556152344,,,,,,,99.67813873291016,,,
2007-01-12,,,,,18.82647705078125,,,62.16999816894531,,,,,,,,,38.85466766357422,,,,,,,100.43541717529297,,,
2007-01-16,,,,,18.39601707458496,,,61.970001220703125,,,,,,,,,38.82893753051758,,,,,,,100.23905944824219,,,
2007-01-17,,,,,18.558454513549805,,,62.63999938964844,,,,,,,,,38.51165008544922,,,,,,,100.28113555908203,,,
2007-01-18,,,,,18.36353302001953,,,62.2599983215332,,,,,,,,,37.79990768432617,,,,,,,99.94456481933594,,,
2007-01-19,,,,,18.639677047729492,,,63.0,,,,,,,,,37.8770866394043,,,,,,,100.14088439941406,,,
2007-01-22,,,,,18.65591812133789,,,62.720001220703125,,,,,,,,,37.46548080444336,,,,,,,99.83240509033203,,,
2007-01-23,,,,,19.248817443847656,,,64.2300033569336,,,,,,,,,37.371131896972656,,,,,,,100.12689971923828,,,
2007-01-24,,,,,19.086374282836914,,,64.33000183105469,,,,,,,,,37.98856735229492,,,,,,,100.9332275390625,,,
2007-01-25,,,,,18.915817260742188,,,64.05999755859375,,,,,,,,,37.49977493286133,,,,,,,99.74828338623047,,,
2007-01-26,,,,,19.151350021362305,,,64.16999816894531,,,,,,,,,37.362571716308594,,,,,,,99.6571273803711,,,
2007-01-29,,,,,18.76150131225586,,,63.77000045776367,,,,,,,,,37.3968620300293,,,,,,,99.60102844238281,,,
2007-01-30,,,,,19.281301498413086,,,64.22000122070312,,,,,,,,,37.414024353027344,,,,,,,100.119873046875,,,
2007-01-31,,,,,19.484344482421875,,,64.83000183105469,,,,,,,,,37.79132843017578,,,,,,,100.79300689697266,,,
2007-02-01,,,,,19.41124725341797,,,65.22000122070312,,,,,,,,,37.731319427490234,,,,,,,101.39603424072266,,,
2007-02-02,,,,,19.663026809692383,,,64.27999877929688,,,,,,,,,37.86851501464844,,,,,,,101.53621673583984,,,
2007-02-05,,,,,19.598051071166992,,,64.30999755859375,,,,,,,,,37.83420944213867,,,,,,,101.56427001953125,,,
2007-02-06,,,,,19.500591278076172,,,64.79000091552734,,,,,,,,,37.78276443481445,,,,,,,101.5923080444336,,,
2007-02-07,,,,,19.26505470275879,,,64.62999725341797,,,,,,,,,38.12577438354492,,,,,,,101.81671142578125,,,
2007-02-08,,,,,19.711759567260742,,,65.5199966430664,,,,,,,,,38.11719512939453,,,,,,,101.68350219726562,,,
2007-02-09,,,,,19.83358383178711,,,66.12000274658203,,,,,,,,,37.62840270996094,,,,,,,100.92622375488281,,,
2007-02-12,,,,,19.45998191833496,,,65.66999816894531,,,,,,,,,37.48261642456055,,,,,,,100.5826644897461,,,
2007-02-13,,,,,19.81734275817871,,,65.83999633789062,,,,,,,,,37.61125946044922,,,,,,,101.4310302734375,,,
2007-02-14,,,,,19.549320220947266,,,66.37000274658203,,,,,,,,,38.24582290649414,,,,,,,102.0971450805664,,,
2007-02-15,,,,,19.549320220947266,,,66.41000366210938,,,,,,,,,38.468780517578125,,,,,,,102.23040771484375,,,
2007-02-16,,,,,19.890443801879883,,,66.36000061035156,,,,,,,,,38.340145111083984,,,,,,,102.18128204345703,,,
2007-02-20,,,,,19.67115020751953,,,65.30999755859375,,,,,,,,,38.63170623779297,,,,,,,102.398681640625,,,
2007-02-21,,,,,20.09348487854004,,,67.3499984741211,,,,,,,,,38.75175857543945,,,,,,,102.35662841796875,,,
2007-02-22,,,,,20.369626998901367,,,67.1500015258789,,,,,,,,,38.94898986816406,,,,,,,102.27945709228516,,,
2007-02-23,,,,,20.49958038330078,,,67.72000122070312,,,,,,,,,38.811798095703125,,,,,,,101.87979125976562,,,
2007-02-26,,,,,20.55643081665039,,,68.0999984741211,,,,,,,,,38.62314224243164,,,,,,,101.78862762451172,,,
2007-02-27,,,,,20.166584014892578,,,65.41000366210938,,,,,,,,,37.0367317199707,,,,,,,97.8130111694336,,,
2007-02-28,,,,,20.475210189819336,,,66.4800033569336,,,,,,,,,37.156761169433594,,,,,,,98.81566619873047,,,
2007-03-01,,,,,20.32901954650879,,,65.81999969482422,,,,,,,,,36.985267639160156,,,,,,,98.52120208740234,,,
2007-03-02,,,,,20.1422176361084,,,63.709999084472656,,,,,,,,,36.42784118652344,,,,,,,97.23106384277344,,,
2007-03-05,,,,,19.84170913696289,,,62.93000030517578,,,,,,,,,36.14487075805664,,,,,,,96.3055191040039,,,
