Date,Close
1999-03-10,43.0743408203125
1999-03-11,43.28523635864258
1999-03-12,42.230770111083984
1999-03-15,43.44340896606445
1999-03-16,43.81246566772461
1999-03-17,43.496124267578125
1999-03-18,44.339683532714844
1999-03-19,43.206119537353516
1999-03-22,42.67892074584961
1999-03-23,41.17633056640625
1999-03-24,42.573490142822266
1999-03-25,44.128787994384766
1999-03-26,43.6542854309082
1999-03-29,45.2359619140625
1999-03-30,44.919639587402344
1999-03-31,44.260616302490234
1999-04-01,45.18325424194336
1999-04-05,46.817630767822266
1999-04-06,46.909908294677734
1999-04-07,46.42221450805664
1999-04-08,46.79127502441406
1999-04-09,47.08125686645508
1999-04-12,46.76491928100586
1999-04-13,46.13223648071289
1999-04-14,44.55056381225586
1999-04-15,45.156898498535156
1999-04-16,43.83882522583008
1999-04-19,41.78263473510742
1999-04-20,42.73164749145508
1999-04-21,44.840545654296875
1999-04-22,46.053157806396484
1999-04-23,46.65947341918945
1999-04-26,47.733707427978516
1999-04-27,47.002159118652344
1999-04-28,45.394126892089844
1999-04-29,45.02507019042969
1999-04-30,45.31504821777344
1999-05-03,45.077789306640625
1999-05-04,44.36603546142578
1999-05-05,45.7104606628418
1999-05-06,44.049705505371094
1999-05-07,44.68236541748047
1999-05-10,45.13051223754883
1999-05-11,45.842262268066406
1999-05-12,46.79127502441406
1999-05-13,45.92136764526367
1999-05-14,45.05143737792969
1999-05-17,45.86205291748047
1999-05-18,45.65774917602539
1999-05-19,46.2904052734375
1999-05-20,45.01848602294922
1999-05-21,44.60328674316406
1999-05-24,43.46977233886719
1999-05-25,42.046260833740234
1999-05-26,43.219329833984375
1999-05-27,43.17979431152344
1999-05-28,43.89152526855469
1999-06-01,42.91618347167969
1999-06-02,43.6411018371582
1999-06-03,43.0216178894043
1999-06-04,44.339683532714844
1999-06-07,45.26233673095703
1999-06-08,44.128787994384766
1999-06-09,44.866920471191406
1999-06-10,44.35285949707031
1999-06-11,43.68064880371094
1999-06-14,42.85688018798828
1999-06-15,43.496124267578125
1999-06-16,45.7302360534668
1999-06-17,46.23769760131836
1999-06-18,46.448585510253906
1999-06-21,47.83912658691406
1999-06-22,46.39585494995117
1999-06-23,47.12736892700195
1999-06-24,46.19154357910156
1999-06-25,46.13223648071289
1999-06-28,47.22624969482422
1999-06-29,47.872093200683594
1999-06-30,48.61021423339844
1999-07-01,48.93971633911133
1999-07-02,49.5592041015625
1999-07-06,49.24288558959961
1999-07-07,49.321956634521484
1999-07-08,49.980987548828125
1999-07-09,50.48186111450195
1999-07-12,50.2182502746582
1999-07-13,49.980987548828125
1999-07-14,50.83115005493164
1999-07-15,51.2990608215332
1999-07-16,51.773563385009766
1999-07-19,51.2463264465332
1999-07-20,49.26923751831055
1999-07-21,49.50651168823242
1999-07-22,48.24775314331055
