Date,A,AAPL,ABBV,ABNB,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,AON,AOS,APA,APD,APH,APO,APP,APTV,ARE,ARES,ATO,AVB,AVGO,AVY,AWK,AXON,AXP,AZO,BA,BAC,BALL,BAX,BBY,BDX,BG,BIIB,BK,BKNG,BKR,BLDR,BLK,BMY,BR,BRO,BSX,BX,BXP,CAH,CARR,CASY,CAT,CBOE,CBRE,CCL,CDNS,CDW,CF,CHRW,CNC,CNP,COF,COR,CPB,CPT,CRL,CVNA,GOOG,GOOGL,LNT,MMM,MO,SCHW,T,TECH,XYZ
2016-04-18,38.16496658325195,24.342117309570312,39.98552322387695,,36.672088623046875,22.64406394958496,98.81299591064453,96.55000305175781,48.41484069824219,28.02851104736328,72.99201202392578,59.13999938964844,36.667720794677734,46.57343292236328,7.783420085906982,26.621803283691406,43.04434585571289,66.84944152832031,38.39640426635742,51.75,57.22664260864258,73.62999725341797,54.00661087036133,57.27737045288086,19.272037506103516,36.18571472167969,2.759999990463257,47.20925521850586,120.12284851074219,78.5370101928711,83.00564575195312,31.767499923706055,3.992500066757202,96.58419799804688,33.70722198486328,41.625831604003906,106.05680084228516,13.316743850708008,11.475574493408203,,61.362098693847656,65.5596694946289,10.171753883361816,58.14974594116211,130.4853057861328,11.932269096374512,61.15052032470703,59.03181838989258,18.489999771118164,54.41998291015625,783.219970703125,119.45034790039062,11.360343933105469,33.578025817871094,36.77692413330078,22.95100975036621,105.02792358398438,43.151824951171875,272.9200134277344,29.656513214111328,53.14204406738281,24.65850067138672,12.100000381469727,279.4874572753906,48.701168060302734,50.8442497253418,16.482324600219727,19.469999313354492,18.558300018310547,86.24878692626953,63.77098846435547,,103.397216796875,62.65814208984375,57.01827621459961,30.709999084472656,44.46476745605469,23.6299991607666,37.744667053222656,23.72367286682129,58.70265197753906,29.69499969482422,15.2286376953125,59.96504211425781,65.94573974609375,44.41358184814453,55.56863784790039,81.52999877929688,,38.018375396728516,39.06116485595703,26.784128189086914,102.21766662597656,31.645898818969727,25.423460006713867,14.510437965393066,22.07286262512207,14.510000228881836
2016-04-19,38.24812316894531,24.213027954101562,40.17917251586914,,36.58864974975586,22.552143096923828,98.39411163330078,96.5199966430664,48.02718734741211,28.415014266967773,73.02420043945312,59.130001068115234,36.69759750366211,46.29218292236328,7.914175510406494,26.760440826416016,43.38695526123047,66.98912811279297,38.42183303833008,51.349998474121094,57.09556579589844,72.9000015258789,54.19117736816406,56.947505950927734,18.950237274169922,36.18571472167969,2.619999885559082,47.68621063232422,120.42005920410156,78.74842834472656,82.97420501708984,31.395000457763672,3.940624952316284,96.15455627441406,33.2755126953125,42.85654830932617,108.03357696533203,13.273492813110352,11.548372268676758,,61.57063674926758,65.57363891601562,10.086113929748535,58.433860778808594,130.84878540039062,11.562591552734375,61.15052032470703,59.44348907470703,18.6299991607666,55.27206802368164,777.4299926757812,120.0929946899414,11.584821701049805,33.739994049072266,37.00731658935547,23.035032272338867,104.0466537475586,44.11323165893555,271.0,30.06679344177246,52.8440055847168,25.090158462524414,12.020000457763672,284.6869812011719,48.73652267456055,51.42546463012695,15.795559883117676,19.670000076293945,18.788436889648438,86.99839782714844,64.54013061523438,,102.93206024169922,63.5594596862793,57.62560272216797,30.6200008392334,44.254852294921875,23.6200008392334,38.02858352661133,25.485740661621094,59.589820861816406,29.575000762939453,15.214146614074707,60.91899490356445,66.56310272216797,44.0431022644043,55.59568405151367,79.3499984741211,,37.389530181884766,38.49435043334961,26.707521438598633,102.27791595458984,31.411752700805664,25.352956771850586,14.611800193786621,21.762813568115234,14.09000015258789
2016-04-20,38.358978271484375,24.262847900390625,40.38618469238281,,36.68877029418945,22.501428604125977,98.77023315429688,96.33000183105469,48.81073760986328,28.890701293945312,72.52523040771484,59.38999938964844,35.55453872680664,44.78754425048828,7.755888938903809,26.954532623291016,43.69843292236328,66.89876556396484,38.45573043823242,51.27000045776367,57.36646270751953,73.55000305175781,53.70166015625,56.974246978759766,18.896608352661133,36.18571472167969,2.700000047683716,47.648799896240234,120.91027069091797,80.30972290039062,82.43939208984375,31.649499893188477,3.996875047683716,95.45985412597656,33.508296966552734,42.786102294921875,107.76566314697266,13.164229393005371,11.482190132141113,,61.458335876464844,64.3154296875,10.211284637451172,57.313175201416016,127.8487319946289,11.727913856506348,60.84223175048828,58.356693267822266,18.540000915527344,56.53278732299805,777.0499877929688,118.18317413330078,11.969645500183105,33.892967224121094,36.9134407043457,23.189067840576172,104.52738952636719,44.35917663574219,265.8900146484375,30.748023986816406,53.00971603393555,25.359939575195312,12.199999809265137,286.4512634277344,48.96284484863281,50.90320587158203,15.859650611877441,19.649999618530273,18.820405960083008,85.36646270751953,65.75418090820312,,104.8950424194336,63.04555130004883,57.90726089477539,30.68000030517578,43.76507568359375,23.510000228881836,37.602699279785156,26.370559692382812,59.19375228881836,29.850000381469727,14.909865379333496,63.119781494140625,68.32592010498047,43.74388885498047,54.61510467529297,80.25,,37.32705307006836,38.42839050292969,25.86482810974121,101.84986877441406,31.2946834564209,25.634950637817383,14.536713600158691,21.74636459350586,13.630000114440918
2016-04-21,38.73777389526367,24.000139236450195,40.98049545288086,,36.61366653442383,21.987943649291992,97.86408996582031,96.37000274658203,48.50556945800781,28.504196166992188,71.90560913085938,60.06999969482422,34.7177848815918,43.77507400512695,7.64578104019165,26.697059631347656,43.2312126159668,64.90189361572266,37.930213928222656,51.36000061035156,57.35772705078125,73.30000305175781,52.52203369140625,56.376976013183594,18.72676658630371,36.18571472167969,2.619999885559082,47.65815734863281,122.09149932861328,80.36666107177734,80.66980743408203,31.549999237060547,3.9512500762939453,94.32636260986328,33.84267044067383,42.864356994628906,107.3963623046875,12.938867568969727,11.468954086303711,,60.95306396484375,63.67234802246094,9.98071002960205,55.71895217895508,126.57312774658203,11.584020614624023,60.66727066040039,56.199615478515625,18.670000076293945,57.04578399658203,766.5499877929688,118.3370361328125,11.945591926574707,33.816490173339844,36.70011901855469,23.00702476501465,104.5339584350586,44.29209518432617,279.6000061035156,31.50664710998535,52.61705017089844,25.19267463684082,12.300000190734863,284.2419128417969,49.620574951171875,50.414642333984375,15.703984260559082,19.59000015258789,18.046873092651367,84.8489990234375,65.4676284790039,,104.72760009765625,62.798072814941406,57.335140228271484,30.1299991607666,43.012916564941406,23.579999923706055,37.42524719238281,25.894123077392578,58.86109161376953,30.25,14.888136863708496,62.53402328491211,68.30360412597656,42.6253547668457,54.1755256652832,80.81999969482422,,37.64791488647461,38.6803092956543,25.091432571411133,101.68111419677734,30.632953643798828,25.670202255249023,14.213842391967773,22.061124801635742,13.239999771118164
2016-04-22,38.61765670776367,23.93446159362793,41.013877868652344,,36.78057098388672,22.444374084472656,97.41101837158203,94.79000091552734,48.23339080810547,29.44814682006836,72.14701080322266,59.540000915527344,34.777549743652344,44.1125602722168,7.693953037261963,26.90303611755371,43.7529182434082,65.4360122680664,38.16755676269531,51.130001068115234,57.882015228271484,73.87000274658203,52.75474166870117,57.26844024658203,18.860843658447266,36.18571472167969,3.990000009536743,47.82650375366211,121.22974395751953,81.2530288696289,81.94391632080078,31.024999618530273,4.103125095367432,94.36293029785156,34.03313064575195,43.975486755371094,107.25154113769531,12.966182708740234,11.4623384475708,,60.736534118652344,64.79776000976562,9.901654243469238,56.27928924560547,128.39024353027344,11.505953788757324,61.25883865356445,57.0064697265625,18.670000076293945,57.32402801513672,771.0700073242188,118.61763763427734,12.11395263671875,34.122432708740234,36.96464920043945,23.25908088684082,105.29132843017578,44.63492202758789,282.70001220703125,31.78533363342285,52.55814743041992,25.052387237548828,12.399999618530273,285.3193359375,49.98834228515625,50.6083869934082,15.882551193237305,19.760000228881836,18.18752098083496,85.84410095214844,65.5354995727539,,102.56922149658203,62.52663803100586,57.67840576171875,30.520000457763672,42.42693328857422,23.739999771118164,37.34539031982422,25.13787078857422,59.05912399291992,31.174999237060547,15.076498985290527,63.22856521606445,68.34823608398438,43.20242691040039,54.993804931640625,80.98999786376953,,35.64584732055664,36.58611297607422,25.20817756652832,101.68111419677734,30.80600357055664,26.19013023376465,14.29268741607666,22.27251434326172,13.34000015258789
2016-04-25,38.46061325073242,23.798568725585938,40.71338653564453,,36.72215270996094,22.52678680419922,97.53925323486328,95.80000305175781,48.192142486572266,29.18057632446289,72.09066772460938,59.9900016784668,35.09134292602539,44.161781311035156,7.57008171081543,26.88322639465332,43.56604766845703,64.90189361572266,38.06584930419922,51.09000015258789,58.18783950805664,74.27999877929688,52.65043640136719,57.67853546142578,18.71782684326172,36.18571472167969,3.450000047683716,47.73295974731445,121.43030548095703,80.39103698730469,81.93605041503906,31.309999465942383,4.119375228881836,94.56402587890625,33.59296798706055,42.57484436035156,107.13568878173828,12.918379783630371,11.323360443115234,,60.98515701293945,65.15424346923828,10.099292755126953,56.287174224853516,129.4449005126953,11.411810874938965,60.65060806274414,58.29081726074219,18.149999618530273,57.1240348815918,774.6500244140625,118.34608459472656,11.993694305419922,33.60951232910156,37.229164123535156,22.733964920043945,105.54157257080078,44.18031692504883,284.8500061035156,31.48343849182129,52.43132019042969,24.30238151550293,12.210000038146973,283.9062194824219,49.952999114990234,50.465187072753906,16.024478912353516,19.739999771118164,18.085235595703125,86.24212646484375,65.11321258544922,,104.6066665649414,61.305145263671875,57.2823371887207,30.010000228881836,43.06539535522461,23.799999237060547,35.64181900024414,25.08492660522461,59.0908088684082,31.43000030517578,15.257617950439453,62.75160217285156,68.06558990478516,43.487403869628906,55.839134216308594,81.66999816894531,,35.86306381225586,36.80629348754883,25.15709686279297,101.51224517822266,31.16233253479004,26.110815048217773,14.345248222351074,21.86615562438965,13.59000015258789
2016-04-26,38.17420959472656,23.633235931396484,40.68668746948242,,36.61366653442383,22.599687576293945,97.97522735595703,96.1500015258789,48.9344596862793,29.529905319213867,72.25963592529297,61.0099983215332,34.971797943115234,44.22505569458008,7.714598655700684,26.934720993041992,44.03323745727539,65.17308044433594,38.20146179199219,52.65999984741211,59.2102165222168,74.69999694824219,52.85908126831055,58.54324722290039,19.012813568115234,36.18571472167969,3.6600000858306885,48.256675720214844,120.97718048095703,81.51323699951172,82.4000473022461,30.8439998626709,4.125,95.73406982421875,33.8723030090332,43.725093841552734,106.79534912109375,12.984395027160645,11.442484855651855,,62.45283889770508,65.34298706054688,10.237635612487793,56.594974517822266,129.5161895751953,11.538862228393555,60.608909606933594,58.793060302734375,18.43000030517578,57.55876922607422,778.7899780273438,120.59986877441406,12.097921371459961,33.77149963378906,37.519283294677734,23.21006965637207,105.07398223876953,44.69454574584961,281.70001220703125,31.916933059692383,52.37948989868164,24.71245765686035,12.140000343322754,285.7018127441406,50.11564254760742,50.86110305786133,16.166406631469727,19.690000534057617,18.328163146972656,86.60700988769531,65.28665161132812,,104.29962921142578,61.99171447753906,57.6344108581543,30.3799991607666,42.96919631958008,23.530000686645508,36.21855163574219,25.47817611694336,59.97003936767578,33.35499954223633,15.286602973937988,63.56326675415039,67.8945083618164,43.451786041259766,55.886478424072266,81.5,,35.11867904663086,35.9712028503418,25.18993377685547,100.18595886230469,31.228496551513672,26.313499450683594,14.300199508666992,22.007097244262695,14.180000305175781
2016-04-27,38.41440963745117,22.154315948486328,40.53309631347656,,36.571956634521484,22.631383895874023,98.71896362304688,95.63999938964844,49.19012451171875,29.6636905670166,72.52523040771484,61.400001525878906,35.30799865722656,44.949256896972656,7.831594467163086,27.45757484436035,44.09553909301758,70.12003326416016,38.260780334472656,54.849998474121094,59.297607421875,74.77999877929688,52.570186614990234,59.577369689941406,19.146892547607422,36.18571472167969,3.7300000190734863,48.948734283447266,119.60282897949219,82.18815612792969,82.1798324584961,30.328500747680664,4.17062520980835,95.35016632080078,33.60060501098633,45.02401351928711,107.38911437988281,12.97756576538086,11.727059364318848,,61.7711296081543,65.51773071289062,10.158580780029297,56.66600799560547,127.92705535888672,11.597798347473145,62.0504150390625,59.41876983642578,18.610000610351562,57.58484649658203,780.27001953125,124.0755615234375,12.041801452636719,33.68150329589844,37.698486328125,23.441118240356445,106.32528686523438,45.059749603271484,280.05999755859375,31.955644607543945,53.15656661987305,25.327573776245117,12.029999732971191,286.8807067871094,49.67008972167969,51.113800048828125,16.134361267089844,21.889999389648438,18.43683624267578,86.64019012451172,65.25648498535156,,104.75550079345703,62.814048767089844,57.21192169189453,30.600000381469727,43.2840461730957,23.729999542236328,36.25404357910156,25.55381202697754,56.88081359863281,32.75,15.525675773620605,62.18256759643555,67.41847229003906,43.91486740112305,55.48072814941406,81.52999877929688,,35.004615783691406,35.777305603027344,25.501941680908203,101.13847351074219,31.330299377441406,26.34874725341797,14.536713600158691,22.077564239501953,14.6899995803833
2016-04-28,38.04487609863281,21.477140426635742,40.86697006225586,,33.72663116455078,22.399999618530273,97.73587799072266,93.63999938964844,47.72203063964844,29.782621383666992,71.70437622070312,61.38999938964844,35.6292610168457,44.337554931640625,7.727356910705566,27.334787368774414,43.47261047363281,69.51192474365234,37.658992767333984,52.40999984741211,58.039302825927734,73.69999694824219,52.12078857421875,58.1599235534668,18.601621627807617,36.18571472167969,3.609999895095825,44.98345184326172,119.27594757080078,79.79740905761719,81.896728515625,30.100000381469727,4.110000133514404,94.59822082519531,32.82797622680664,43.372982025146484,107.55565643310547,12.840983390808105,11.521897315979004,,60.14303970336914,65.59464263916016,9.921416282653809,56.879085540771484,127.95559692382812,11.32685375213623,61.192195892333984,59.59990692138672,18.110000610351562,57.245765686035156,767.469970703125,122.01185607910156,11.857403755187988,32.813148498535156,37.76674270629883,22.8599910736084,106.64140319824219,46.58757400512695,281.0799865722656,31.460208892822266,51.737083435058594,25.82398223876953,11.399999618530273,280.1355285644531,51.10580825805664,50.31356430053711,15.9970064163208,21.829999923706055,17.93330955505371,86.00996398925781,59.20135498046875,,103.97248840332031,62.07157897949219,56.375732421875,30.8799991607666,42.60185623168945,23.350000381469727,35.59746170043945,25.95462989807129,56.104557037353516,31.809999465942383,15.474960327148438,61.39596939086914,64.27964782714844,43.80800247192383,55.636253356933594,80.02999877929688,,34.26964569091797,34.96402359008789,25.582897186279297,100.68030548095703,31.65608787536621,25.538015365600586,14.506681442260742,21.741668701171875,15.350000381469727
2016-04-29,37.80466079711914,21.23027992248535,40.733421325683594,,32.45835494995117,22.342947006225586,96.53054809570312,94.22000122070312,46.45185852050781,29.68599510192871,71.17324829101562,59.81999969482422,35.86085510253906,44.64693069458008,7.755151748657227,27.318939208984375,43.46482467651367,69.49549102783203,39.023624420166016,50.9900016784668,57.81209182739258,72.19000244140625,52.2010498046875,58.347137451171875,18.29770851135254,36.18571472167969,3.549999952316284,44.9741096496582,117.59707641601562,77.98404693603516,82.48656463623047,32.97949981689453,4.163750171661377,96.39553833007812,32.781288146972656,42.567020416259766,105.6368637084961,12.708958625793457,11.190999984741211,,59.05229568481445,64.9725112915039,9.55907917022705,57.2579345703125,125.98167419433594,11.155409812927246,60.500606536865234,59.90455627441406,18.260000228881836,56.8892822265625,765.22998046875,122.01185607910156,11.673009872436523,32.115753173828125,37.73261642456055,22.460912704467773,106.20012664794922,46.58012390136719,274.989990234375,31.281414031982422,52.76076126098633,26.093769073486328,11.09000015258789,278.1837463378906,51.049224853515625,50.40623092651367,16.074838638305664,21.920000076293945,17.713823318481445,85.48587036132812,59.163665771484375,,104.40128326416016,62.04759216308594,54.53617477416992,29.6299991607666,42.89921569824219,23.190000534057617,34.16007995605469,25.009300231933594,56.21546173095703,30.979999542236328,15.540170669555664,60.575897216796875,63.29780197143555,43.964744567871094,54.59481430053711,79.2699966430664,,34.36833953857422,35.10386276245117,25.9471492767334,100.90938568115234,31.9207763671875,25.035717010498047,14.574263572692871,21.887300491333008,14.890000343322754
