Date,AGG,BTAL,CTA,DBMF,FMF,GMOM,HFND,KMLM,MNA,NTSX,QAI,RLY,RPAR,RSBT,RSSB,RSST,SPY,TAIL,WTMF
2009-01-02,62.844207763671875,,,,,,,,,,,,,,,,67.98126983642578,,
2009-01-05,63.845497131347656,,,,,,,,,,,,,,,,67.90084838867188,,
2009-01-06,63.48744583129883,,,,,,,,,,,,,,,,68.35424041748047,,
2009-01-07,62.90488052368164,,,,,,,,,,,,,,,,66.3066177368164,,
2009-01-08,62.42537307739258,,,,,,,,,,,,,,,,66.5771713256836,,
2009-01-09,62.21300506591797,,,,,,,,,,,,,,,,65.15113830566406,,
2009-01-12,62.54069519042969,,,,,,,,,,,,,,,,63.58615493774414,,
2009-01-13,62.64386749267578,,,,,,,,,,,,,,,,63.70317077636719,,
2009-01-14,62.55891036987305,,,,,,,,,,,,,,,,61.69944381713867,,
2009-01-15,62.5528678894043,,,,,,,,,,,,,,,,61.72135543823242,,
2009-01-16,62.874473571777344,,,,,,,,,,,,,,,,62.20401382446289,,
2009-01-20,62.54676818847656,,,,,,,,,,,,,,,,58.92049789428711,,
2009-01-21,62.21908187866211,,,,,,,,,,,,,,,,61.46540832519531,,
2009-01-22,61.95200729370117,,,,,,,,,,,,,,,,60.51472473144531,,
2009-01-23,61.854888916015625,,,,,,,,,,,,,,,,60.77798843383789,,
2009-01-26,61.79425048828125,,,,,,,,,,,,,,,,61.19485092163086,,
2009-01-27,62.10977554321289,,,,,,,,,,,,,,,,61.816436767578125,,
2009-01-28,62.14621353149414,,,,,,,,,,,,,,,,63.90794372558594,,
2009-01-29,61.593929290771484,,,,,,,,,,,,,,,,61.831050872802734,,
2009-01-30,61.98235321044922,,,,,,,,,,,,,,,,60.57325744628906,,
2009-02-02,61.87635803222656,,,,,,,,,,,,,,,,60.39039993286133,,
2009-02-03,61.602294921875,,,,,,,,,,,,,,,,61.238731384277344,,
2009-02-04,61.51705551147461,,,,,,,,,,,,,,,,60.93888473510742,,
2009-02-05,61.32213592529297,,,,,,,,,,,,,,,,61.845703125,,
2009-02-06,61.48656463623047,,,,,,,,,,,,,,,,63.60812759399414,,
2009-02-09,61.492671966552734,,,,,,,,,,,,,,,,63.69585037231445,,
2009-02-10,61.87029266357422,,,,,,,,,,,,,,,,60.77798843383789,,
2009-02-11,61.858123779296875,,,,,,,,,,,,,,,,61.136348724365234,,
2009-02-12,62.18703079223633,,,,,,,,,,,,,,,,61.18021011352539,,
2009-02-13,61.9981689453125,,,,,,,,,,,,,,,,60.52204895019531,,
2009-02-17,62.04695129394531,,,,,,,,,,,,,,,,57.93328857421875,,
2009-02-18,61.91903305053711,,,,,,,,,,,,,,,,57.79430389404297,,
2009-02-19,61.82158279418945,,,,,,,,,,,,,,,,57.172706604003906,,
2009-02-20,61.50484085083008,,,,,,,,,,,,,,,,56.61692428588867,,
2009-02-23,61.82158279418945,,,,,,,,,,,,,,,,54.591217041015625,,
2009-02-24,61.69977569580078,,,,,,,,,,,,,,,,56.6607780456543,,
2009-02-25,61.64496994018555,,,,,,,,,,,,,,,,56.214725494384766,,
2009-02-26,61.32213592529297,,,,,,,,,,,,,,,,55.30061721801758,,
2009-02-27,61.328208923339844,,,,,,,,,,,,,,,,54.064693450927734,,
2009-03-02,61.53411865234375,,,,,,,,,,,,,,,,51.629493713378906,,
2009-03-03,61.4547004699707,,,,,,,,,,,,,,,,51.24190902709961,,
2009-03-04,61.16748046875,,,,,,,,,,,,,,,,52.45584487915039,,
2009-03-05,61.369136810302734,,,,,,,,,,,,,,,,50.31315612792969,,
2009-03-06,61.53411865234375,,,,,,,,,,,,,,,,50.40091323852539,,
2009-03-09,61.112483978271484,,,,,,,,,,,,,,,,49.808570861816406,,
2009-03-10,61.25300216674805,,,,,,,,,,,,,,,,52.777610778808594,,
2009-03-11,61.399715423583984,,,,,,,,,,,,,,,,53.12132263183594,,
2009-03-12,61.4547004699707,,,,,,,,,,,,,,,,55.212833404541016,,
2009-03-13,61.51579666137695,,,,,,,,,,,,,,,,55.644317626953125,,
2009-03-16,61.3264274597168,,,,,,,,,,,,,,,,55.47612380981445,,
2009-03-17,61.14309310913086,,,,,,,,,,,,,,,,57.172706604003906,,
2009-03-18,62.11460494995117,,,,,,,,,,,,,,,,58.45249557495117,,
2009-03-19,62.26743698120117,,,,,,,,,,,,,,,,57.72850799560547,,
2009-03-20,61.91910934448242,,,,,,,,,,,,,,,,56.49922180175781,,
2009-03-23,61.91910934448242,,,,,,,,,,,,,,,,60.55752182006836,,
2009-03-24,61.49741744995117,,,,,,,,,,,,,,,,59.364322662353516,,
2009-03-25,61.22865676879883,,,,,,,,,,19.898395538330078,,,,,,59.99037551879883,,
2009-03-26,61.3508186340332,,,,,,,,,,19.906295776367188,,,,,,61.2130126953125,,
2009-03-27,61.399715423583984,,,,,,,,,,19.724605560302734,,,,,,60.10823059082031,,
2009-03-30,61.68693542480469,,,,,,,,,,19.55082893371582,,,,,,58.03123474121094,,
2009-03-31,62.00468063354492,,,,,,,,,,19.67721176147461,,,,,,58.56888198852539,,
2009-04-01,61.974639892578125,,,,,,,,,,19.621917724609375,,,,,,59.7031364440918,,
2009-04-02,61.77841567993164,,,,,,,,,,19.835201263427734,,,,,,61.448665618896484,,
2009-04-03,61.57603454589844,,,,,,,,,,19.74830436706543,,,,,,62.060028076171875,,
2009-04-06,61.563758850097656,,,,,,,,,,19.843097686767578,,,,,,61.573936462402344,,
2009-04-07,61.465694427490234,,,,,,,,,,19.835201263427734,,,,,,60.13768005371094,,
2009-04-08,61.66802215576172,,,,,,,,,,19.850994110107422,,,,,,60.78582000732422,,
2009-04-09,61.57603454589844,,,,,,,,,,19.99318504333496,,,,,,63.20164108276367,,
2009-04-13,62.023685455322266,,,,,,,,,,20.048480987548828,,,,,,63.21638870239258,,
2009-04-14,62.01141357421875,,,,,,,,,,19.99318504333496,,,,,,62.12630081176758,,
2009-04-15,62.183128356933594,,,,,,,,,,20.024778366088867,,,,,,62.78917694091797,,
2009-04-16,62.07270050048828,,,,,,,,,,20.04058265686035,,,,,,63.70985794067383,,
2009-04-17,61.72932052612305,,,,,,,,,,20.056379318237305,,,,,,64.13706970214844,,
2009-04-20,62.08500289916992,,,,,,,,,,19.827299118041992,,,,,,61.448665618896484,,
2009-04-21,61.888763427734375,,,,,,,,,,19.929988861083984,,,,,,62.64924240112305,,
