date,close,adjclose
2011-01-04,633840.0,633840.0
2011-01-05,620400.0,620400.0
2011-01-06,623040.0,623040.0
2011-01-07,624320.0,624320.0
2011-01-10,623040.0,623040.0
2011-01-11,605840.0,605840.0
2011-01-12,578800.0,578800.0
2011-01-13,572000.0,572000.0
2011-01-14,548400.0,548400.0
2011-01-18,531680.0,531680.0
2011-01-19,559360.0,559360.0
2011-01-20,554480.0,554480.0
2011-01-21,559760.0,559760.0
2011-01-24,547680.0,547680.0
2011-01-25,540720.0,540720.0
2011-01-26,523840.0,523840.0
2011-01-27,514000.0,514000.0
2011-01-28,557040.0,557040.0
2011-01-31,554800.0,554800.0
2011-02-01,528400.0,528400.0
2011-02-02,526240.0,526240.0
2011-02-03,520000.0,520000.0
2011-02-04,507760.0,507760.0
2011-02-07,498400.0,498400.0
2011-02-08,491600.0,491600.0
2011-02-09,494000.0,494000.0
2011-02-10,493600.0,493600.0
2011-02-11,485600.0,485600.0
2011-02-14,481280.0,481280.0
2011-02-15,487760.0,487760.0
2011-02-16,493520.0,493520.0
2011-02-17,498320.0,498320.0
2011-02-18,503520.0,503520.0
2011-02-22,566400.0,566400.0
2011-02-23,591440.0,591440.0
2011-02-24,583600.0,583600.0
2011-02-25,547920.0,547920.0
2011-02-28,524320.0,524320.0
2011-03-01,562640.0,562640.0
2011-03-02,564800.0,564800.0
2011-03-03,535600.0,535600.0
2011-03-04,550880.0,550880.0
2011-03-07,564880.0,564880.0
2011-03-08,552560.0,552560.0
2011-03-09,559920.0,559920.0
2011-03-10,588320.0,588320.0
2011-03-11,572160.0,572160.0
2011-03-14,579680.0,579680.0
2011-03-15,603040.0,603040.0
2011-03-16,657280.0,657280.0
2011-03-17,632720.0,632720.0
2011-03-18,613680.0,613680.0
2011-03-21,565680.0,565680.0
2011-03-22,560880.0,560880.0
2011-03-23,541840.0,541840.0
2011-03-24,527440.0,527440.0
2011-03-25,526960.0,526960.0
2011-03-28,533680.0,533680.0
2011-03-29,520880.0,520880.0
2011-03-30,511040.0,511040.0
2011-03-31,510000.0,510000.0
2011-04-01,505280.0,505280.0
2011-04-04,500800.0,500800.0
2011-04-05,491440.0,491440.0
2011-04-06,489280.0,489280.0
2011-04-07,493520.0,493520.0
2011-04-08,502640.0,502640.0
2011-04-11,497520.0,497520.0
2011-04-12,502240.0,502240.0
2011-04-13,493520.0,493520.0
2011-04-14,488960.0,488960.0
2011-04-15,478080.0,478080.0
2011-04-18,489200.0,489200.0
2011-04-19,464560.0,464560.0
2011-04-20,445360.0,445360.0
2011-04-21,432400.0,432400.0
2011-04-25,422560.0,422560.0
2011-04-26,413280.0,413280.0
2011-04-27,407760.0,407760.0
2011-04-28,402000.0,402000.0
2011-04-29,403120.0,403120.0
2011-05-02,414160.0,414160.0
2011-05-03,423520.0,423520.0
2011-05-04,428000.0,428000.0
2011-05-05,440560.0,440560.0
2011-05-06,430560.0,430560.0
2011-05-09,416160.0,416160.0
2011-05-10,401520.0,401520.0
2011-05-11,409440.0,409440.0
2011-05-12,404960.0,404960.0
2011-05-13,410400.0,410400.0
2011-05-16,418400.0,418400.0
2011-05-17,410960.0,410960.0
2011-05-18,399600.0,399600.0
2011-05-19,390080.0,390080.0
2011-05-20,394720.0,394720.0
2011-05-23,407920.0,407920.0
2011-05-24,407200.0,407200.0
2011-05-25,395520.0,395520.0
2011-05-26,387200.0,387200.0
2011-05-27,380400.0,380400.0
2011-05-31,369520.0,369520.0
2011-06-01,392880.0,392880.0
2011-06-02,388080.0,388080.0
2011-06-03,388320.0,388320.0
2011-06-06,394640.0,394640.0
2011-06-07,389520.0,389520.0
2011-06-08,396000.0,396000.0
2011-06-09,383280.0,383280.0
2011-06-10,396640.0,396640.0
2011-06-13,402720.0,402720.0
2011-06-14,390560.0,390560.0
2011-06-15,423360.0,423360.0
2011-06-16,445840.0,445840.0
2011-06-17,437200.0,437200.0
2011-06-20,417680.0,417680.0
2011-06-21,404320.0,404320.0
2011-06-22,408560.0,408560.0
2011-06-23,408240.0,408240.0
2011-06-24,425040.0,425040.0
2011-06-27,417600.0,417600.0
2011-06-28,401120.0,401120.0
2011-06-29,381040.0,381040.0
2011-06-30,365440.0,365440.0
2011-07-01,350800.0,350800.0
2011-07-05,352320.0,352320.0
2011-07-06,357760.0,357760.0
2011-07-07,348000.0,348000.0
2011-07-08,351840.0,351840.0
2011-07-11,381120.0,381120.0
2011-07-12,390560.0,390560.0
2011-07-13,390240.0,390240.0
2011-07-14,404400.0,404400.0
2011-07-15,400320.0,400320.0
2011-07-18,408880.0,408880.0
2011-07-19,389120.0,389120.0
2011-07-20,381040.0,381040.0
2011-07-21,361520.0,361520.0
2011-07-22,358640.0,358640.0
2011-07-25,372320.0,372320.0
2011-07-26,380000.0,380000.0
2011-07-27,402480.0,402480.0
2011-07-28,411760.0,411760.0
2011-07-29,404080.0,404080.0
2011-08-01,387120.0,387120.0
2011-08-02,414000.0,414000.0
2011-08-03,416480.0,416480.0
2011-08-04,498400.0,498400.0
2011-08-05,523840.0,523840.0
2011-08-08,600560.0,600560.0
2011-08-09,541120.0,541120.0
2011-08-10,606320.0,606320.0
2011-08-11,581600.0,581600.0
2011-08-12,585760.0,585760.0
2011-08-15,552640.0,552640.0
2011-08-16,565200.0,565200.0
2011-08-17,576480.0,576480.0
2011-08-18,695680.0,695680.0
2011-08-19,730800.0,730800.0
2011-08-22,753040.0,753040.0
2011-08-23,717040.0,717040.0
2011-08-24,702480.0,702480.0
2011-08-25,716960.0,716960.0
2011-08-26,704880.0,704880.0
2011-08-29,660560.0,660560.0
2011-08-30,668480.0,668480.0
2011-08-31,669680.0,669680.0
2011-09-01,678160.0,678160.0
2011-09-02,712320.0,712320.0
2011-09-06,733440.0,733440.0
2011-09-07,706800.0,706800.0
2011-09-08,718320.0,718320.0
2011-09-09,786720.0,786720.0
2011-09-12,794400.0,794400.0
2011-09-13,785760.0,785760.0
2011-09-14,765040.0,765040.0
2011-09-15,726720.0,726720.0
2011-09-16,712160.0,712160.0
2011-09-19,736240.0,736240.0
2011-09-20,735440.0,735440.0
2011-09-21,775360.0,775360.0
2011-09-22,853600.0,853600.0
2011-09-23,862400.0,862400.0
2011-09-26,832400.0,832400.0
2011-09-27,816640.0,816640.0
2011-09-28,868800.0,868800.0
2011-09-29,853600.0,853600.0
2011-09-30,916160.0,916160.0
2011-10-03,975600.0,975600.0
2011-10-04,907600.0,907600.0
2011-10-05,861280.0,861280.0
2011-10-06,846880.0,846880.0
2011-10-07,862240.0,862240.0
2011-10-10,799680.0,799680.0
2011-10-11,790160.0,790160.0
2011-10-12,736800.0,736800.0
2011-10-13,735360.0,735360.0
2011-10-14,692560.0,692560.0
2011-10-17,765760.0,765760.0
2011-10-18,735520.0,735520.0
2011-10-19,785680.0,785680.0
2011-10-20,793200.0,793200.0
2011-10-21,749840.0,749840.0
2011-10-24,703920.0,703920.0
2011-10-25,749600.0,749600.0
2011-10-26,718480.0,718480.0
