Date,AGG,CTA,DBMF,KMLM,NTSX,QLD,QQQ,RSBT,RSSB,RSST,SPY,SSO,TQQQ,UPRO
2006-01-03,52.94674301147461,,,,,,35.31254196166992,,,,87.22506713867188,,,
2006-01-04,53.073036193847656,,,,,,35.68011474609375,,,,87.63811492919922,,,
2006-01-05,53.073036193847656,,,,,,35.833953857421875,,,,87.6932144165039,,,
2006-01-06,52.952064514160156,,,,,,36.48362731933594,,,,88.42292785644531,,,
2006-01-09,53.009971618652344,,,,,,36.62894821166992,,,,88.650146484375,,,
2006-01-10,52.9046630859375,,,,,,36.65459442138672,,,,88.73963165283203,,,
2006-01-11,52.86786651611328,,,,,,36.936683654785156,,,,89.02184295654297,,,
2006-01-12,53.004608154296875,,,,,,36.75715637207031,,,,88.67078399658203,,,
2006-01-13,53.1519660949707,,,,,,36.740074157714844,,,,88.58816528320312,,,
2006-01-17,53.178245544433594,,,,,,36.50071334838867,,,,88.34721374511719,,,
2006-01-18,53.24138641357422,,,,,,36.081851959228516,,,,87.9961166381836,,,
2006-01-19,53.16249084472656,,,,,,36.346866607666016,,,,88.33343505859375,,,
2006-01-20,53.18876266479492,,,,,,35.26123046875,,,,86.72247314453125,,,
2006-01-23,53.18876266479492,,,,,,35.269775390625,,,,87.03227996826172,,,
2006-01-24,53.099342346191406,,,,,,35.42365264892578,,,,87.1218032836914,,,
2006-01-25,52.96782302856445,,,,,,35.269775390625,,,,87.1975326538086,,,
2006-01-26,52.80473327636719,,,,,,35.517696380615234,,,,87.67943572998047,,,
2006-01-27,52.87310028076172,,,,,,35.99637985229492,,,,88.49176788330078,,,
2006-01-30,52.87838363647461,,,,,,36.06477355957031,,,,88.42292785644531,,,
2006-01-31,52.88895034790039,,,,,,35.90235137939453,,,,87.77579498291016,,,
2006-02-01,52.7415885925293,,,,,,36.03059768676758,,,,88.38851928710938,,,
2006-02-02,52.778507232666016,,,,,,35.415103912353516,,,,87.36273193359375,,,
2006-02-03,52.92641830444336,,,,,,34.979148864746094,,,,86.92902374267578,,,
2006-02-06,52.915836334228516,,,,,,34.8851318359375,,,,87.15621185302734,,,
2006-02-07,52.87886047363281,,,,,,34.73127365112305,,,,86.38518524169922,,,
2006-02-08,52.85248947143555,,,,,,35.133018493652344,,,,87.16997528076172,,,
2006-02-09,52.8841667175293,,,,,,34.79963684082031,,,,87.0254135131836,,,
2006-02-10,52.77326202392578,,,,,,35.013343811035156,,,,87.1837387084961,,,
2006-02-13,52.81022262573242,,,,,,34.611576080322266,,,,87.0254135131836,,,
2006-02-14,52.72573471069336,,,,,,34.962066650390625,,,,87.94792175292969,,,
2006-02-15,52.783878326416016,,,,,,35.184303283691406,,,,88.2577133178711,,,
2006-02-16,52.73101806640625,,,,,,35.509117126464844,,,,88.91860961914062,,,
2006-02-17,52.9474983215332,,,,,,35.22703170776367,,,,88.6776351928711,,,
2006-02-21,52.75212478637695,,,,,,34.83382797241211,,,,88.45732879638672,,,
2006-02-22,52.96335220336914,,,,,,35.269775390625,,,,88.9943618774414,,,
2006-02-23,52.931663513183594,,,,,,35.17573547363281,,,,88.86354064941406,,,
2006-02-24,52.973899841308594,,,,,,35.269775390625,,,,89.09076690673828,,,
2006-02-27,52.86304473876953,,,,,,35.66299819946289,,,,89.12513732910156,,,
2006-02-28,52.973899841308594,,,,,,35.133018493652344,,,,88.27837371826172,,,
2006-03-01,52.975467681884766,,,,,,35.61172103881836,,,,89.06317138671875,,,
