Date,BTAL,DBMF,KMLM,MNA,MTUM,QAI,QUAL,SIZE,SPY,USMV,VLUE
2009-01-02,,,,,,,,,67.98124694824219,,
2009-01-05,,,,,,,,,67.90084075927734,,
2009-01-06,,,,,,,,,68.35424041748047,,
2009-01-07,,,,,,,,,66.30659484863281,,
2009-01-08,,,,,,,,,66.5771713256836,,
2009-01-09,,,,,,,,,65.1511459350586,,
2009-01-12,,,,,,,,,63.58617401123047,,
2009-01-13,,,,,,,,,63.70321273803711,,
2009-01-14,,,,,,,,,61.699440002441406,,
2009-01-15,,,,,,,,,61.72137451171875,,
2009-01-16,,,,,,,,,62.204002380371094,,
2009-01-20,,,,,,,,,58.9205207824707,,
2009-01-21,,,,,,,,,61.46541213989258,,
2009-01-22,,,,,,,,,60.514747619628906,,
2009-01-23,,,,,,,,,60.77801513671875,,
2009-01-26,,,,,,,,,61.19483184814453,,
2009-01-27,,,,,,,,,61.816463470458984,,
2009-01-28,,,,,,,,,63.90793228149414,,
2009-01-29,,,,,,,,,61.8310661315918,,
2009-01-30,,,,,,,,,60.57323455810547,,
2009-02-02,,,,,,,,,60.39041519165039,,
2009-02-03,,,,,,,,,61.23872756958008,,
2009-02-04,,,,,,,,,60.938873291015625,,
2009-02-05,,,,,,,,,61.845680236816406,,
2009-02-06,,,,,,,,,63.60810470581055,,
2009-02-09,,,,,,,,,63.695858001708984,,
2009-02-10,,,,,,,,,60.77801513671875,,
2009-02-11,,,,,,,,,61.136348724365234,,
2009-02-12,,,,,,,,,61.18022918701172,,
2009-02-13,,,,,,,,,60.52205276489258,,
2009-02-17,,,,,,,,,57.93327331542969,,
2009-02-18,,,,,,,,,57.79430389404297,,
2009-02-19,,,,,,,,,57.17268753051758,,
2009-02-20,,,,,,,,,56.61691665649414,,
2009-02-23,,,,,,,,,54.59124755859375,,
2009-02-24,,,,,,,,,56.66079330444336,,
2009-02-25,,,,,,,,,56.21472930908203,,
2009-02-26,,,,,,,,,55.30061340332031,,
2009-02-27,,,,,,,,,54.0647087097168,,
2009-03-02,,,,,,,,,51.62947463989258,,
2009-03-03,,,,,,,,,51.241912841796875,,
2009-03-04,,,,,,,,,52.45584487915039,,
2009-03-05,,,,,,,,,50.31314468383789,,
2009-03-06,,,,,,,,,50.40089797973633,,
2009-03-09,,,,,,,,,49.80857467651367,,
2009-03-10,,,,,,,,,52.77761459350586,,
2009-03-11,,,,,,,,,53.121334075927734,,
2009-03-12,,,,,,,,,55.21282196044922,,
2009-03-13,,,,,,,,,55.6442985534668,,
2009-03-16,,,,,,,,,55.47609329223633,,
2009-03-17,,,,,,,,,57.17268753051758,,
2009-03-18,,,,,,,,,58.45248031616211,,
2009-03-19,,,,,,,,,57.72849655151367,,
2009-03-20,,,,,,,,,56.49921798706055,,
2009-03-23,,,,,,,,,60.5575065612793,,
